Game Turn, Player, Action, Belief, City
41, 6, Add belief to LOC_RELIGION_CATHOLICISM, BELIEF_LAY_MINISTRY, N/A
41, 0, Adopt Religion, N/A, LOC_CITY_NAME_RA_KEDET
41, 0, Adopt Religion, N/A, LOC_CITY_NAME_MEMPHIS
41, 0, Adopt Religion, N/A, LOC_CITY_NAME_SWENETT
41, 0, Adopt Religion, N/A, LOC_CITY_NAME_IWNW
41, 0, Adopt Religion, N/A, LOC_CITY_NAME_NEKHEN
41, 0, Adopt Religion, N/A, LOC_CITY_NAME_AKHETATEN
41, 0, Adopt Religion, N/A, LOC_CITY_NAME_SENA
41, 1, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON_STK
41, 1, Adopt Religion, N/A, LOC_CITY_NAME_BORSIPPA
41, 1, Adopt Religion, N/A, LOC_CITY_NAME_KARKAR
41, 1, Adopt Religion, N/A, LOC_CITY_NAME_DUR_KURIGALZU
41, 1, Adopt Religion, N/A, LOC_CITY_NAME_ESHNUNNA
41, 1, Adopt Religion, N/A, LOC_CITY_NAME_MASHKAN_SHAPIR
41, 2, Adopt Religion, N/A, LOC_CITY_NAME_PATNA
41, 2, Adopt Religion, N/A, LOC_CITY_NAME_CHENNAI
41, 2, Adopt Religion, N/A, LOC_CITY_NAME_DELHI
41, 2, Adopt Religion, N/A, LOC_CITY_NAME_CALCUTTA
41, 2, Adopt Religion, N/A, LOC_CITY_NAME_MUMBAI
41, 2, Adopt Religion, N/A, LOC_CITY_NAME_JABALPUR
41, 3, Adopt Religion, N/A, LOC_CITY_NAME_NIANI
41, 3, Adopt Religion, N/A, LOC_CITY_NAME_TIMBUKTU
41, 3, Adopt Religion, N/A, LOC_CITY_NAME_WALATA
41, 3, Adopt Religion, N/A, LOC_CITY_NAME_KUMBI_SALEH
41, 3, Adopt Religion, N/A, LOC_CITY_NAME_GAO
41, 3, Adopt Religion, N/A, LOC_CITY_NAME_AWDAGHUST
41, 3, Adopt Religion, N/A, LOC_CITY_NAME_KIRINA
41, 4, Adopt Religion, N/A, LOC_CITY_NAME_MEROE
41, 4, Adopt Religion, N/A, LOC_CITY_NAME_SEDEINGA
41, 4, Adopt Religion, N/A, LOC_CITY_NAME_KERMA
41, 4, Adopt Religion, N/A, LOC_CITY_NAME_KAWA
41, 4, Adopt Religion, N/A, LOC_CITY_NAME_EL_KURRU
41, 4, Adopt Religion, N/A, LOC_CITY_NAME_QASR_IBRIM
41, 4, Adopt Religion, N/A, LOC_CITY_NAME_HEH
41, 4, Adopt Religion, N/A, LOC_CITY_NAME_SHAAT
41, 5, Adopt Religion, N/A, LOC_CITY_NAME_PELLA
41, 5, Adopt Religion, N/A, LOC_CITY_NAME_ALEXANDRIA_TROAS
41, 5, Adopt Religion, N/A, LOC_CITY_NAME_CHALKIDIKI
41, 5, Adopt Religion, N/A, LOC_CITY_NAME_ALEXANDRIA_LATMUS
41, 5, Adopt Religion, N/A, LOC_CITY_NAME_FEZ
41, 5, Adopt Religion, N/A, LOC_CITY_NAME_METHONE
41, 5, Adopt Religion, N/A, LOC_CITY_NAME_BUENOS_AIRES
41, 6, Adopt Religion, N/A, LOC_CITY_NAME_RIO_DE_JANEIRO
41, 6, Adopt Religion, N/A, LOC_CITY_NAME_SAO_PAULO
41, 6, Adopt Religion, N/A, LOC_CITY_NAME_FORTALEZA
41, 6, Adopt Religion, N/A, LOC_CITY_NAME_CURITIBA
41, 6, Adopt Religion, N/A, LOC_CITY_NAME_SALVADOR
41, 6, Adopt Religion, N/A, LOC_CITY_NAME_JERUSALEM
41, 7, Adopt Religion, N/A, LOC_CITY_NAME_AACHEN
41, 7, Adopt Religion, N/A, LOC_CITY_NAME_MAGDEBURG
41, 7, Adopt Religion, N/A, LOC_CITY_NAME_COLOGNE
41, 7, Adopt Religion, N/A, LOC_CITY_NAME_DORTMUND
41, 7, Adopt Religion, N/A, LOC_CITY_NAME_HEIDELBERG
41, 8, Adopt Religion, N/A, LOC_CITY_HA_NOI
41, 8, Adopt Religion, N/A, LOC_CITY_HUE
41, 8, Adopt Religion, N/A, LOC_CITY_QUANG_TRI
41, 8, Adopt Religion, N/A, LOC_CITY_HOI_AN
41, 8, Adopt Religion, N/A, LOC_CITY_HOA_LU
41, 8, Adopt Religion, N/A, LOC_CITY_DONG_HOI
41, 9, Adopt Religion, N/A, LOC_CITY_NAME_ROME
41, 9, Adopt Religion, N/A, LOC_CITY_NAME_ARRETIUM
41, 9, Adopt Religion, N/A, LOC_CITY_NAME_ARPINUM
41, 9, Adopt Religion, N/A, LOC_CITY_NAME_LUGDUNUM
41, 9, Adopt Religion, N/A, LOC_CITY_NAME_CUMAE
41, 10, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON
41, 12, Adopt Religion, N/A, LOC_CITY_NAME_HATTUSA
41, 13, Adopt Religion, N/A, LOC_CITY_NAME_JOHANNESBURG
41, 14, Adopt Religion, N/A, LOC_CITY_NAME_LISBON
41, 15, Adopt Religion, N/A, LOC_CITY_NAME_VATICAN_CITY
41, 16, Adopt Religion, N/A, LOC_CITY_NAME_VILNIUS
41, 17, Adopt Religion, N/A, LOC_CITY_NAME_YEREVAN
41, 20, Adopt Religion, N/A, LOC_CITY_NAME_KUMASI
41, 21, Adopt Religion, N/A, LOC_CITY_NAME_PRESLAV
50, 3, Add belief to 打爆对面, BELIEF_STUPA, N/A
50, 0, Adopt Religion, N/A, LOC_CITY_NAME_RA_KEDET
50, 0, Adopt Religion, N/A, LOC_CITY_NAME_MEMPHIS
50, 0, Adopt Religion, N/A, LOC_CITY_NAME_SWENETT
50, 0, Adopt Religion, N/A, LOC_CITY_NAME_IWNW
50, 0, Adopt Religion, N/A, LOC_CITY_NAME_NEKHEN
50, 0, Adopt Religion, N/A, LOC_CITY_NAME_AKHETATEN
50, 0, Adopt Religion, N/A, LOC_CITY_NAME_SENA
50, 0, Adopt Religion, N/A, LOC_CITY_NAME_SHEDET
50, 1, Adopt Religion, N/A, LOC_CITY_NAME_BABYLON_STK
50, 1, Adopt Religion, N/A, LOC_CITY_NAME_BORSIPPA
50, 1, Adopt Religion, N/A, LOC_CITY_NAME_KARKAR
50, 1, Adopt Religion, N/A, LOC_CITY_NAME_DUR_KURIGALZU
50, 1, Adopt Religion, N/A, LOC_CITY_NAME_ESHNUNNA
50, 1, Adopt Religion, N/A, LOC_CITY_NAME_MASHKAN_SHAPIR
50, 1, Adopt Religion, N/A, LOC_CITY_NAME_MALGIUM
