Game Turn, Player, Boosted System, Progress
39, 4, TECH_MILITARY_ENGINEERING, Unstarted
40, 6, TECH_STIRRUPS, Unstarted
40, 9, CIVIC_THE_ENLIGHTENMENT, Unstarted
40, 21, TECH_APPRENTICESHIP, Completed
41, 5, TECH_STIRRUPS, Unstarted
41, 6, TECH_METAL_CASTING, Unstarted
41, 8, TECH_BANKING, Unstarted
41, 14, TECH_CONSTRUCTION, Unstarted
41, 20, TECH_CONSTRUCTION, Unstarted
41, 0, CIVIC_GUILDS, Unstarted
41, 1, TECH_MILITARY_ENGINEERING, Unstarted
41, 2, TECH_CASTLES, Unstarted
41, 1, CIVIC_MEDIEVAL_FAIRES, Unstarted
42, 5, TECH_EDUCATION, Unstarted
42, 16, TECH_METAL_CASTING, Unstarted
42, 20, TECH_METAL_CASTING, Unstarted
42, 2, CIVIC_GUILDS, In Progress
43, 8, TECH_MASS_PRODUCTION, Unstarted
43, 9, TECH_SIEGE_TACTICS, Unstarted
43, 1, TECH_BANKING, Unstarted
43, 4, TECH_METAL_CASTING, Unstarted
43, 4, CIVIC_NATIONALISM, Unstarted
44, 6, TECH_BANKING, Unstarted
44, 9, TECH_GUNPOWDER, Unstarted
44, 21, CIVIC_MERCENARIES, Unstarted
44, 21, TECH_METAL_CASTING, Unstarted
44, 2, TECH_BANKING, Unstarted
44, 4, TECH_BANKING, Unstarted
45, 5, CIVIC_REFORMED_CHURCH, Unstarted
45, 0, TECH_BANKING, Unstarted
45, 3, TECH_BANKING, Unstarted
45, 0, CIVIC_MERCANTILISM, Unstarted
45, 0, CIVIC_THE_ENLIGHTENMENT, Unstarted
45, 3, CIVIC_THE_ENLIGHTENMENT, Unstarted
45, 0, TECH_MASS_PRODUCTION, Unstarted
46, 4, TECH_GUNPOWDER, Unstarted
47, 5, CIVIC_THE_ENLIGHTENMENT, Unstarted
47, 8, TECH_GUNPOWDER, Unstarted
47, 10, TECH_STIRRUPS, Unstarted
47, 13, TECH_STIRRUPS, Unstarted
48, 5, TECH_BANKING, Unstarted
48, 8, TECH_RIFLING, Unstarted
48, 1, CIVIC_CIVIL_ENGINEERING, Unstarted
48, 1, CIVIC_HUMANISM, Unstarted
48, 0, TECH_METAL_CASTING, Unstarted
48, 4, CIVIC_HUMANISM, Unstarted
49, 7, CIVIC_NATURAL_HISTORY, Unstarted
49, 10, TECH_METAL_CASTING, Unstarted
49, 13, TECH_CONSTRUCTION, Completed
49, 17, TECH_BANKING, Unstarted
49, 0, TECH_MILITARY_SCIENCE, Unstarted
50, 7, TECH_SCIENTIFIC_THEORY, Unstarted
50, 1, TECH_ASTRONOMY, Unstarted
50, 4, TECH_SCIENTIFIC_THEORY, Unstarted
50, 2, CIVIC_REFORMED_CHURCH, In Progress
51, 6, TECH_ASTRONOMY, Unstarted
51, 2, TECH_RIFLING, Unstarted
52, 8, TECH_BALLISTICS, Unstarted
52, 1, TECH_CARTOGRAPHY, Unstarted
52, 1, TECH_MASS_PRODUCTION, Unstarted
53, 9, TECH_STEEL, Unstarted
53, 1, TECH_SCIENTIFIC_THEORY, Unstarted
53, 4, TECH_MILITARY_SCIENCE, Unstarted
54, 4, CIVIC_OPERA_BALLET, Unstarted
55, 6, TECH_SCIENTIFIC_THEORY, Unstarted
55, 6, CIVIC_NATURAL_HISTORY, Unstarted
55, 9, CIVIC_NATURAL_HISTORY, Unstarted
55, 10, TECH_BANKING, Unstarted
55, 12, TECH_BANKING, Unstarted
55, 13, TECH_BANKING, Unstarted
55, 14, TECH_BANKING, Unstarted
55, 15, TECH_BANKING, Unstarted
55, 20, TECH_BANKING, Unstarted
55, 21, TECH_BANKING, Unstarted
55, 18, TECH_CONSTRUCTION, Completed
56, 5, TECH_STEEL, Unstarted
56, 10, CIVIC_MERCENARIES, Completed
56, 14, TECH_METAL_CASTING, Unstarted
57, 6, CIVIC_MOBILIZATION, Unstarted
57, 7, CIVIC_MOBILIZATION, Unstarted
57, 20, CIVIC_MERCENARIES, Completed
58, 18, TECH_BANKING, Unstarted
58, 3, CIVIC_COLONIALISM, Unstarted
58, 3, TECH_SCIENTIFIC_THEORY, Unstarted
58, 4, TECH_INDUSTRIALIZATION, Unstarted
58, 4, CIVIC_URBANIZATION, Unstarted
58, 18, TECH_BANKING, Unstarted
58, 3, CIVIC_COLONIALISM, Unstarted
58, 3, TECH_SCIENTIFIC_THEORY, Unstarted
59, 4, CIVIC_TOTALITARIANISM, Unstarted
59, 5, TECH_REPLACEABLE_PARTS, Unstarted
59, 7, TECH_STEEL, Unstarted
59, 8, TECH_STEEL, Unstarted
59, 9, TECH_REPLACEABLE_PARTS, Unstarted
59, 10, TECH_SCIENTIFIC_THEORY, Unstarted
59, 12, TECH_SCIENTIFIC_THEORY, Unstarted
59, 13, TECH_SCIENTIFIC_THEORY, Unstarted
59, 14, TECH_SCIENTIFIC_THEORY, Unstarted
59, 15, TECH_SCIENTIFIC_THEORY, Unstarted
59, 20, TECH_SCIENTIFIC_THEORY, Unstarted
59, 21, TECH_SCIENTIFIC_THEORY, Unstarted
59, 0, CIVIC_PROFESSIONAL_SPORTS, Unstarted
59, 2, CIVIC_URBANIZATION, Unstarted
