Turn, EventType, GovernorName, Owner, City
39, Governor Promoted, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_EGYPT, NO CITY
40, Governor Established, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_MACEDON, NO CITY
40, Governor Established, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_MACEDON, NO CITY
40, Governor Established, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_GERMANY, NO CITY
40, Governor Assigned, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_ROME, LOC_CITY_NAME_ARRETIUM
40, Governor Established, LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME, CIVILIZATION_BABYLON_STK, NO CITY
41, Governor Established, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_GERMANY, NO CITY
41, Governor Promoted, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_GERMANY, NO CITY
41, Governor Promoted, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_VIETNAM, NO CITY
41, Governor Assigned, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_VIETNAM, LOC_CITY_HUE
41, Governor Established, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_ROME, NO CITY
41, Governor Assigned, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_ROME, LOC_CITY_NAME_ARPINUM
41, Governor Established, LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME, CIVILIZATION_MALI, NO CITY
41, Governor Established, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_MALI, NO CITY
41, Governor Promoted, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_MALI, NO CITY
41, Governor Appointed, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_MALI, NO CITY
41, Governor Assigned, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_MALI, LOC_CITY_NAME_TIMBUKTU
42, Governor Assigned, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_MACEDON, LOC_CITY_NAME_CHALKIDIKI
42, Governor Assigned, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_BRAZIL, LOC_CITY_NAME_FORTALEZA
42, Governor Assigned, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_GERMANY, LOC_CITY_NAME_AACHEN
42, Governor Promoted, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_BABYLON_STK, NO CITY
42, Governor Appointed, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_BABYLON_STK, NO CITY
42, Governor Assigned, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_BABYLON_STK, LOC_CITY_NAME_ESHNUNNA
43, Governor Promoted, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_VIETNAM, NO CITY
44, Governor Promoted, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_BRAZIL, NO CITY
44, Governor Established, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_VIETNAM, NO CITY
44, Governor Established, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_ROME, NO CITY
44, Governor Promoted, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_ROME, NO CITY
44, Governor Established, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_MALI, NO CITY
44, Governor Promoted, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_INDIA, NO CITY
44, Governor Appointed, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_INDIA, NO CITY
44, Governor Assigned, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_INDIA, LOC_CITY_NAME_DELHI
44, Governor Promoted, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_NUBIA, NO CITY
44, Governor Appointed, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_NUBIA, NO CITY
44, Governor Assigned, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_NUBIA, LOC_CITY_NAME_HEH
45, Governor Established, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_MACEDON, NO CITY
45, Governor Established, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_BRAZIL, NO CITY
45, Governor Established, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_GERMANY, NO CITY
45, Governor Assigned, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_BABYLON_STK, LOC_CITY_NAME_MASHKAN_SHAPIR
45, Governor Promoted, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_MALI, NO CITY
45, Governor Appointed, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_MALI, NO CITY
45, Governor Assigned, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_MALI, LOC_CITY_NAME_KIRINA
45, Governor Promoted, LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME, CIVILIZATION_EGYPT, NO CITY
45, Governor Appointed, LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME, CIVILIZATION_EGYPT, NO CITY
45, Governor Assigned, LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME, CIVILIZATION_EGYPT, LOC_CITY_NAME_AKHETATEN
46, Governor Promoted, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_INDIA, NO CITY
46, Governor Promoted, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_MALI, NO CITY
46, Governor Appointed, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_MALI, NO CITY
46, Governor Assigned, LOC_GOVERNOR_THE_MERCHANT_NAME, CIVILIZATION_MALI, LOC_CITY_NAME_NTERET
47, Governor Assigned, LOC_GOVERNOR_THE_AMBASSADOR_NAME, CIVILIZATION_BRAZIL, LOC_CITY_NAME_YEREVAN
