Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
40, 5, 0, 其他玩家对我们的不满, Activate,  -27.0,  -27.0,    1.0, 0, 0,    1.0
40, 5, 1, 其他玩家对我们的不满, Activate,  -40.0,  -40.0,    1.0, 0, 0,    1.0
40, 5, 2, 其他玩家对我们的不满, Activate,  -27.0,  -27.0,    1.0, 0, 0,    1.0
40, 5, 3, 其他玩家对我们的不满, Activate,  -40.0,  -40.0,    1.0, 0, 0,    1.0
40, 5, 4, 其他玩家对我们的不满, Activate,  -40.0,  -40.0,    1.0, 0, 0,    1.0
40, 5, 6, 我们的军队已到达他们边境, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
40, 6, 5, 其他玩家对我们的不满, Activate,   -7.0,   -7.0,    1.0, 0, 0,    1.0
40, 6, 5, 对我们的不满, Activate,  -22.0,  -22.0,    1.0, 0, 2,   -1.0
40, 7, 5, 其他玩家对我们的不满, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
40, 7, 5, 对我们的不满, Activate,  -26.0,  -26.0,    1.0, 0, 2,   -1.0
40, 7, 6, 对我们的不满, Activate,  -19.0,  -19.0,    1.0, 0, 2,   -1.0
40, 8, 5, 其他玩家对我们的不满, Activate,    0.0,    0.0,    1.0, 0, 0,    1.0
40, 8, 5, 对我们的不满, Activate,  -36.0,  -36.0,    1.0, 0, 2,   -1.0
40, 8, 6, 对我们的不满, Activate,  -26.0,  -26.0,    1.0, 0, 2,   -1.0
40, 8, 7, 对我们的不满, Activate,  -16.0,  -16.0,    1.0, 0, 2,   -1.0
40, 8, 0, 赵夫人讨厌向她宣战的文明, Activate,   -3.0,  -12.0,   -1.0, 5, 0,    1.0
40, 8, 1, 赵夫人讨厌向她宣战的文明, Activate,   -3.0,  -12.0,   -1.0, 5, 0,    1.0
40, 8, 2, 赵夫人讨厌向她宣战的文明, Activate,   -3.0,  -12.0,   -1.0, 5, 0,    1.0
40, 8, 3, 赵夫人讨厌向她宣战的文明, Activate,   -3.0,  -12.0,   -1.0, 5, 0,    1.0
40, 8, 4, 赵夫人讨厌向她宣战的文明, Activate,   -2.0,  -12.0,   -1.0, 5, 0,    1.0
40, 8, 5, 赵夫人喜欢长期与她和平共处的文明, Activate,    3.0,    8.0,    1.0, 10, 0,    1.0
40, 8, 6, 赵夫人喜欢长期与她和平共处的文明, Activate,    3.0,    8.0,    1.0, 10, 0,    1.0
40, 8, 7, 赵夫人喜欢长期与她和平共处的文明, Activate,    3.0,    8.0,    1.0, 10, 0,    1.0
40, 8, 9, 赵夫人喜欢长期与她和平共处的文明, Activate,    3.0,    8.0,    1.0, 10, 0,    1.0
40, 8, 5, 赵夫人喜欢长期与她和平共处的文明, Update,    4.0
40, 8, 6, 赵夫人喜欢长期与她和平共处的文明, Update,    4.0
40, 8, 7, 赵夫人喜欢长期与她和平共处的文明, Update,    4.0
40, 8, 9, 赵夫人喜欢长期与她和平共处的文明, Update,    4.0
40, 9, 5, 其他玩家对我们的不满, Activate,  -10.0,  -10.0,    1.0, 0, 0,    1.0
40, 9, 5, 对我们的不满, Activate,  -17.0,  -17.0,    1.0, 0, 2,   -1.0
40, 9, 6, 对我们的不满, Activate,   -9.0,   -9.0,    1.0, 0, 2,   -1.0
40, 9, 7, 对我们的不满, Activate,   -2.0,   -2.0,    1.0, 0, 2,   -1.0
40, 9, 8, 对我们的不满, Activate,   -2.0,   -2.0,    1.0, 0, 2,   -1.0
