Game Turn, From, To, Initiator, Type, SubType, Message
39, 4, 3, 4, MAKE_DEAL, NONE, INITIAL, Processing Statement
39, 4, 3, 4, MAKE_DEAL, NONE, INITIAL, Not for local adding to notification
39, 4, 3, 4, MAKE_DEAL, NONE, INITIAL, Notification sent; closing session
39, 4, 3, 4, MAKE_DEAL, NONE, 00000000, Processing Statement
39, 4, 3, 4, MAKE_DEAL, NONE, 00000000, Not for local adding to notification
39, 4, 3, 4, MAKE_DEAL, NONE, 00000000, Notification sent; closing session
40, 5, 6, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, 00000000, Requesting Session (B)
40, 5, 6, ?, MAKE_PROMISE, 9c55a0d8, ?, Processing Action From AI to AI
40, 5, 6, -1, WARNING_TOO_MANY_TROOPS_NEAR_ME, NONE, INITIAL, Requesting session between two AIs!
40, 9, 8, -1, DIPLOMATIC_KUDO, NONE, 00000000, Requesting Session (B)
40, 9, 8, ?, MAKE_PROMISE, ffffffff, ?, Processing Action From AI to AI
40, 9, 8, -1, DIPLOMATIC_KUDO, NONE, INITIAL, Requesting session between two AIs!
40, 9, 4, -1, MAKE_DEAL, NONE, 00000000, Requesting Session (B)
40, 9, 4, 9, MAKE_DEAL, NONE, INITIAL, Adding to pending
40, 9, 4, 9, MAKE_DEAL, NONE, INITIAL, Processing Statement
40, 9, 4, 9, MAKE_DEAL, NONE, INITIAL, Not for local adding to notification
40, 9, 4, 9, MAKE_DEAL, NONE, INITIAL, Notification sent; closing session
40, 3, 1, 3, MAKE_DEAL, NONE, INITIAL, Processing Statement
40, 3, 1, 3, MAKE_DEAL, NONE, INITIAL, Notification sent; closing local session
40, 3, 1, 3, MAKE_DEAL, NONE, 00000000, Processing Statement
40, 3, 1, 3, MAKE_DEAL, NONE, 00000000, Notification sent; closing local session
40, 3, 2, 3, MAKE_DEAL, NONE, INITIAL, Processing Statement
40, 3, 2, 3, MAKE_DEAL, NONE, INITIAL, Not for local adding to notification
40, 3, 2, 3, MAKE_DEAL, NONE, INITIAL, Notification sent; closing session
40, 3, 2, 3, MAKE_DEAL, NONE, 00000000, Processing Statement
40, 3, 2, 3, MAKE_DEAL, NONE, 00000000, Not for local adding to notification
40, 3, 2, 3, MAKE_DEAL, NONE, 00000000, Notification sent; closing session
40, 3, 0, 3, MAKE_DEAL, NONE, INITIAL, Processing Statement
40, 3, 0, 3, MAKE_DEAL, NONE, INITIAL, Not for local adding to notification
40, 3, 0, 3, MAKE_DEAL, NONE, INITIAL, Notification sent; closing session
40, 3, 0, 3, MAKE_DEAL, NONE, 00000000, Processing Statement
40, 3, 0, 3, MAKE_DEAL, NONE, 00000000, Not for local adding to notification
40, 3, 0, 3, MAKE_DEAL, NONE, 00000000, Notification sent; closing session
40, 0, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
40, 0, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Not for local adding to notification
40, 0, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Notification sent; closing session
40, 2, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
40, 2, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Not for local adding to notification
40, 2, 3, 3, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Notification sent; closing session
40, 4, 0, 4, MAKE_DEAL, NONE, INITIAL, Processing Statement
40, 4, 0, 4, MAKE_DEAL, NONE, INITIAL, Not for local adding to notification
40, 4, 0, 4, MAKE_DEAL, NONE, INITIAL, Notification sent; closing session
40, 4, 0, 4, MAKE_DEAL, NONE, 00000000, Processing Statement
40, 4, 0, 4, MAKE_DEAL, NONE, 00000000, Not for local adding to notification
40, 4, 0, 4, MAKE_DEAL, NONE, 00000000, Notification sent; closing session
40, 0, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
