Game Turn, Emergency Type, Action, Player, Target
48, WORLD CONGRESS, CALLED TO SESSION
48, VOTES, WC_RES_DIPLOVICTORY, 5, 2
48, OPTIONS, WC_RES_DIPLOVICTORY, 5, 1, 5
48, VOTES, WC_RES_MIGRATION_TREATY, 5, 1
48, OPTIONS, WC_RES_MIGRATION_TREATY, 5, 1, 6
48, VOTES, WC_RES_MILITARY_ADVISORY, 5, 1
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 5, 1, 6
48, VOTES, WC_RES_DIPLOVICTORY, 6, 3
48, OPTIONS, WC_RES_DIPLOVICTORY, 6, 1, 6
48, VOTES, WC_RES_MIGRATION_TREATY, 6, 2
48, OPTIONS, WC_RES_MIGRATION_TREATY, 6, 1, 6
48, VOTES, WC_RES_MILITARY_ADVISORY, 6, 1
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 6, 1, 1
48, VOTES, WC_RES_DIPLOVICTORY, 7, 4
48, OPTIONS, WC_RES_DIPLOVICTORY, 7, 1, 7
48, VOTES, WC_RES_MIGRATION_TREATY, 7, 3
48, OPTIONS, WC_RES_MIGRATION_TREATY, 7, 1, 6
48, VOTES, WC_RES_MILITARY_ADVISORY, 7, 1
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 7, 1, 1
48, VOTES, WC_RES_DIPLOVICTORY, 8, 3
48, OPTIONS, WC_RES_DIPLOVICTORY, 8, 1, 8
48, VOTES, WC_RES_MIGRATION_TREATY, 8, 2
48, OPTIONS, WC_RES_MIGRATION_TREATY, 8, 1, 8
48, VOTES, WC_RES_MILITARY_ADVISORY, 8, 1
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 8, 1, 1
48, VOTES, WC_RES_DIPLOVICTORY, 9, 3
48, OPTIONS, WC_RES_DIPLOVICTORY, 9, 1, 9
48, VOTES, WC_RES_MIGRATION_TREATY, 9, 3
48, OPTIONS, WC_RES_MIGRATION_TREATY, 9, 1, 6
48, VOTES, WC_RES_MILITARY_ADVISORY, 9, 1
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 9, 1, 1
48, VOTES, WC_RES_MIGRATION_TREATY, 4, 5
48, OPTIONS, WC_RES_MIGRATION_TREATY, 4, 1, 3
48, VOTES, WC_RES_MILITARY_ADVISORY, 4, 5
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 4, 1, 2
48, VOTES, WC_RES_DIPLOVICTORY, 4, 3
48, OPTIONS, WC_RES_DIPLOVICTORY, 4, 1, 1
48, VOTES, WC_RES_MIGRATION_TREATY, 3, 2
48, OPTIONS, WC_RES_MIGRATION_TREATY, 3, 1, 3
48, VOTES, WC_RES_MILITARY_ADVISORY, 3, 3
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 3, 1, 2
48, VOTES, WC_RES_DIPLOVICTORY, 3, 2
48, OPTIONS, WC_RES_DIPLOVICTORY, 3, 1, 1
48, VOTES, WC_RES_MIGRATION_TREATY, 1, 3
48, OPTIONS, WC_RES_MIGRATION_TREATY, 1, 1, 3
48, VOTES, WC_RES_MILITARY_ADVISORY, 1, 3
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 1, 1, 2
48, VOTES, WC_RES_DIPLOVICTORY, 1, 3
48, OPTIONS, WC_RES_DIPLOVICTORY, 1, 1, 1
48, VOTES, WC_RES_MIGRATION_TREATY, 2, 3
48, OPTIONS, WC_RES_MIGRATION_TREATY, 2, 1, 3
48, VOTES, WC_RES_MILITARY_ADVISORY, 2, 4
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 2, 1, 2
48, VOTES, WC_RES_DIPLOVICTORY, 2, 1
48, OPTIONS, WC_RES_DIPLOVICTORY, 2, 1, 1
48, VOTES, WC_RES_MIGRATION_TREATY, 0, 2
48, OPTIONS, WC_RES_MIGRATION_TREATY, 0, 1, 3
48, VOTES, WC_RES_MILITARY_ADVISORY, 0, 4
48, OPTIONS, WC_RES_MILITARY_ADVISORY, 0, 1, 2
48, VOTES, WC_RES_DIPLOVICTORY, 0, 1
48, OPTIONS, WC_RES_DIPLOVICTORY, 0, 1, 1
48, RESOLUTION DECIDED, WC_RES_MIGRATION_TREATY, , 1, 3
48, RESOLUTION DECIDED, WC_RES_MILITARY_ADVISORY, , 1, 2
48, RESOLUTION DECIDED, WC_RES_DIPLOVICTORY, , 1, 1
