Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 3 spline, 6 tower
Update: 24 spline, 54 tower
Free: 13 spline, 26 tower
Update: 20 spline, 45 tower
Free: 9 spline, 22 tower
Update: 34 spline, 88 tower
Free: 17 spline, 44 tower
Update: 10 spline, 34 tower
Free: 5 spline, 17 tower
Update: 1 spline, 6 tower
Update: 18 spline, 48 tower
Free: 9 spline, 24 tower
Update: 2 spline, 12 tower
Free: 1 spline, 6 tower
Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 10 spline, 31 tower
Free: 5 spline, 16 tower
Update: 1 spline, 8 tower
Update: 11 spline, 41 tower
Free: 5 spline, 20 tower
Update: 17 spline, 51 tower
Free: 7 spline, 25 tower
Update: 4 spline, 13 tower
Update: 5 spline, 12 tower
Update: 10 spline, 24 tower
Free: 5 spline, 12 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 5 spline, 8 tower
Update: 28 spline, 58 tower
Free: 14 spline, 29 tower
Update: 10 spline, 16 tower
Free: 5 spline, 8 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 8 spline, 40 tower
Free: 4 spline, 20 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 2 spline, 10 tower
Update: 8 spline, 40 tower
Free: 4 spline, 20 tower
Update: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 2 spline, 6 tower
Free: 1 spline, 3 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 1 spline, 3 tower
Update: 19 spline, 76 tower
Free: 10 spline, 36 tower
Update: 24 spline, 58 tower
Free: 12 spline, 29 tower
Update: 8 spline, 26 tower
Free: 4 spline, 13 tower
Update: 48 spline, 154 tower
Free: 24 spline, 77 tower
Update: 22 spline, 59 tower
Free: 11 spline, 30 tower
Update: 27 spline, 61 tower
Free: 11 spline, 29 tower
Update: 10 spline, 20 tower
Free: 5 spline, 10 tower
Update: 10 spline, 20 tower
Free: 5 spline, 10 tower
Update: 2 spline, 4 tower
Free: 1 spline, 2 tower
Update: 11 spline, 35 tower
Free: 6 spline, 16 tower
Update: 10 spline, 37 tower
Free: 4 spline, 18 tower
Update: 7 spline, 15 tower
Update: 38 spline, 97 tower
Free: 22 spline, 50 tower
Update: 37 spline, 100 tower
Free: 18 spline, 50 tower
Update: 4 spline, 13 tower
Update: 4 spline, 19 tower
Free: 2 spline, 10 tower
Update: 18 spline, 65 tower
Free: 9 spline, 33 tower
Update: 12 spline, 28 tower
Free: 5 spline, 13 tower
Update: 14 spline, 30 tower
Free: 7 spline, 15 tower
Update: 19 spline, 42 tower
Free: 7 spline, 15 tower
Update: 10 spline, 24 tower
Free: 5 spline, 12 tower
Update: 18 spline, 42 tower
Free: 9 spline, 21 tower
Update: 5 spline, 8 tower
Update: 2 spline, 9 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 4 spline, 18 tower
Free: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 8 spline, 38 tower
Free: 4 spline, 19 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 8 spline, 38 tower
Free: 4 spline, 19 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 2 spline, 9 tower
Update: 4 spline, 20 tower
Free: 2 spline, 10 tower
Update: 4 spline, 8 tower
Free: 2 spline, 4 tower
Update: 40 spline, 100 tower
Free: 20 spline, 50 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 8 spline, 22 tower
Free: 4 spline, 11 tower
Update: 14 spline, 34 tower
Free: 7 spline, 17 tower
Update: 2 spline, 2 tower
Free: 1 spline, 1 tower
Update: 1 spline, 7 tower
Update: 6 spline, 32 tower
Free: 3 spline, 16 tower
Update: 2 spline, 14 tower
Free: 1 spline, 7 tower
Update: 10 spline, 52 tower
Free: 5 spline, 26 tower
Update: 2 spline, 14 tower
Free: 1 spline, 7 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 6 spline, 16 tower
Free: 3 spline, 8 tower
Update: 14 spline, 30 tower
Free: 7 spline, 15 tower
Update: 14 spline, 30 tower
Free: 7 spline, 15 tower
Update: 5 spline, 19 tower
Free: 2 spline, 9 tower
Update: 22 spline, 56 tower
Free: 11 spline, 28 tower
Update: 8 spline, 26 tower
Free: 4 spline, 13 tower
Update: 6 spline, 32 tower
