Turn, Event, GP Individual, GP Class, GP Era, GP Cost, Recipient Player, Timeline Index
40, Granted to Player, GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 75, 9, 40
40, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 75, -1, -1
40, Great Person Activated, GREAT_PERSON_INDIVIDUAL_HILDEGARD_OF_BINGEN, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 9
41, Great Person Deleted, GREAT_PERSON_INDIVIDUAL_HOMER, GREAT_PERSON_CLASS_WRITER, Era TBD, 7
41, Great Person Deleted, GREAT_PERSON_INDIVIDUAL_OVID, GREAT_PERSON_CLASS_WRITER, Era TBD, 7
42, Granted to Player, GREAT_PERSON_INDIVIDUAL_ABU_AL_QASIM_AL_ZAHRAWI, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 75, 5, 42
42, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 75, -1, -1
43, Granted to Player, GREAT_PERSON_INDIVIDUAL_RAJA_TODAR_MAL, GREAT_PERSON_CLASS_MERCHANT, ERA_MEDIEVAL, 75, 6, 43
43, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_PIERO_DE_BARDI, GREAT_PERSON_CLASS_MERCHANT, ERA_MEDIEVAL, 75, -1, -1
43, Great Person Activated, GREAT_PERSON_INDIVIDUAL_RAJA_TODAR_MAL, GREAT_PERSON_CLASS_MERCHANT, Era TBD, 6
43, Granted to Player, GREAT_PERSON_INDIVIDUAL_VALMIKI, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 30, 7, 43
43, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_QU_YUAN, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 30, -1, -1
43, Granted to Player, GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM, GREAT_PERSON_CLASS_SCIENTIST, ERA_MEDIEVAL, 75, 9, 43
43, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_GALILEO_GALILEI, GREAT_PERSON_CLASS_SCIENTIST, ERA_RENAISSANCE, 305, -1, -1
43, Great Person Activated, GREAT_PERSON_INDIVIDUAL_OMAR_KHAYYAM, GREAT_PERSON_CLASS_SCIENTIST, Era TBD, 9
43, Granted to Player, GREAT_PERSON_INDIVIDUAL_TIMUR, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 75, 4, 43
43, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_EL_CID, GREAT_PERSON_CLASS_GENERAL, ERA_MEDIEVAL, 75, -1, -1
43, Granted to Player, GREAT_PERSON_INDIVIDUAL_BI_SHENG, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 60, 4, 43
43, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_JAMES_OF_ST_GEORGE, GREAT_PERSON_CLASS_ENGINEER, ERA_MEDIEVAL, 75, -1, -1
43, Great Person Activated, GREAT_PERSON_INDIVIDUAL_BI_SHENG, GREAT_PERSON_CLASS_ENGINEER, Era TBD, 4
44, Granted to Player, GREAT_PERSON_INDIVIDUAL_QU_YUAN, GREAT_PERSON_CLASS_WRITER, ERA_CLASSICAL, 30, 7, 44
44, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_GEOFFREY_CHAUCER, GREAT_PERSON_CLASS_WRITER, ERA_MEDIEVAL, 75, -1, -1
45, Granted to Player, GREAT_PERSON_INDIVIDUAL_PIERO_DE_BARDI, GREAT_PERSON_CLASS_MERCHANT, ERA_MEDIEVAL, 75, 6, 45
45, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN, GREAT_PERSON_CLASS_MERCHANT, ERA_MEDIEVAL, 75, -1, -1
45, Granted to Player, GREAT_PERSON_INDIVIDUAL_ZHANG_QIAN, GREAT_PERSON_CLASS_MERCHANT, ERA_MEDIEVAL, 75, 0, 45
45, Added to Present Timeline, GREAT_PERSON_INDIVIDUAL_IRENE_OF_ATHENS, GREAT_PERSON_CLASS_MERCHANT, ERA_MEDIEVAL, 75, -1, -1
