Game Turn, Mode, Player, Unit, Operation
Unit operation handler f4921fdc, is disabled
Unit operation handler a92585ad, is disabled
Unit operation handler 6e290af6, is disabled
Unit operation handler 8c676517, is disabled
040, Can't Start, 5, UNIT_TRADER (1245184), UNITOPERATION_MAKE_TRADE_ROUTE (18)
040, Adding, 6, UNIT_SETTLER (4522000), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SWORDSMAN (4128779), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_WARRIOR (1835030), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SCOUT (262147), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 6, UNIT_SCOUT (262147), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 6, UNIT_SCOUT (262147), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_BUILDER (3670036), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 6, UNIT_BUILDER (3670036), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 6, UNIT_BUILDER (3670036), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_BUILDER (3670036), UNITOPERATION_BUILD_IMPROVEMENT (2)
040, Adding, 6, UNIT_BUILDER (3276835), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 6, UNIT_BUILDER (3276835), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 6, UNIT_BUILDER (3276835), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_BUILDER (3276835), UNITOPERATION_REMOVE_FEATURE (28)
040, Adding, 6, UNIT_BUILDER (3604518), UNITOPERATION_BUILD_IMPROVEMENT (2)
040, Adding, 6, UNIT_BUILDER (4259874), UNITOPERATION_SWAP_UNITS (49)
040, Can't Start, 6, UNIT_BUILDER (4259874), UNITOPERATION_SWAP_UNITS (49)
040, Adding, 6, UNIT_BUILDER (4259874), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SKIRMISHER (4063245), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SWORDSMAN (3932201), UNITOPERATION_FORTIFY (12)
040, Can't Start, 6, UNIT_SWORDSMAN (3932201), UNITOPERATION_FORTIFY (12)
040, Adding, 6, UNIT_SWORDSMAN (4456450), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SWORDSMAN (2818054), UNITOPERATION_MOVE_TO (19)
040, Can't Start, 6, UNIT_SWORDSMAN (2818054), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SWORDSMAN (2686985), UNITOPERATION_MOVE_TO (19)
040, Can't Start, 6, UNIT_SWORDSMAN (2686985), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SWORDSMAN (4587534), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_CATAPULT (2621457), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_SWORDSMAN (4718610), UNITOPERATION_MOVE_TO (19)
040, Adding, 6, UNIT_CROSSBOWMAN (4784149), UNITOPERATION_MOVE_TO (19)
