Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
40, CIVILIZATION_MACEDON, 7, 41, 21, 12, 22, 0, 0, 0, 75, 17, 106, 134, 79, 28, 36, 52, 293, 142
40, CIVILIZATION_BRAZIL, 6, 47, 15, 15, 22, 0, 0, 0, 81, 29, 227, 435, 42, 43, 61, 271, 263, 168
40, CIVILIZATION_GERMANY, 5, 38, 19, 14, 31, 0, 0, 0, 63, 22, 204, 443, 45, 51, 56, 71, 253, 131
40, CIVILIZATION_VIETNAM, 5, 34, 20, 12, 32, 0, 0, 0, 72, 40, 227, 236, 45, 41, 69, 109, 321, 109
40, CIVILIZATION_ROME, 5, 35, 22, 12, 33, 0, 0, 0, 65, 25, 316, 201, 64, 26, 67, 69, 306, 105
40, CIVILIZATION_BABYLON, 1, 8, 17, 12, 5, 0, 0, 0, 9, 7, 213, 0, 7, 5, 11, 0, 9, 24
40, CIVILIZATION_HATTUSA, 1, 6, 17, 13, 5, 0, 0, 0, 7, 5, 49, 0, 14, 5, 7, 0, 10, 13
40, CIVILIZATION_JOHANNESBURG, 1, 8, 18, 12, 4, 0, 0, 0, 10, 8, 247, 34, 7, 5, 18, 1, 7, 24
40, CIVILIZATION_LISBON, 1, 8, 17, 13, 4, 0, 0, 0, 10, 6, 169, 0, 7, 4, 12, 0, 7, 22
40, CIVILIZATION_VATICAN_CITY, 1, 7, 17, 13, 6, 0, 0, 0, 9, 8, 218, 0, 6, 5, 13, 0, 9, 20
40, CIVILIZATION_VILNIUS, 1, 8, 19, 13, 5, 0, 0, 0, 12, 6, 134, 0, 8, 4, 7, 0, 10, 21
40, CIVILIZATION_YEREVAN, 1, 7, 17, 13, 6, 0, 0, 0, 8, 6, 101, 0, 5, 4, 5, 0, 9, 18
40, CIVILIZATION_KUMASI, 1, 8, 16, 13, 5, 0, 0, 0, 9, 6, 192, 0, 7, 6, 9, 0, 6, 21
40, CIVILIZATION_PRESLAV, 1, 7, 18, 13, 7, 0, 0, 0, 9, 5, 93, 0, 6, 4, 9, 0, 8, 19
40, CIVILIZATION_FREE_CITIES, 0, 0, 3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
40, CIVILIZATION_EGYPT, 7, 28, 17, 12, 6, 0, 0, 0, 78, 16, 43, 46, 54, 30, 53, 21, 105, 101
40, CIVILIZATION_BABYLON_STK, 5, 24, 9, 12, 5, 0, 0, 0, 64, 14, 96, 174, 41, 63, 57, 8, 111, 97
40, CIVILIZATION_INDIA, 6, 25, 17, 15, 4, 0, 0, 0, 82, 23, 431, 200, 59, 50, 92, 115, 76, 90
40, CIVILIZATION_MALI, 7, 29, 7, 13, 4, 0, 0, 0, 73, 6, 224, 219, 22, 32, 77, 121, 75, 92
40, CIVILIZATION_NUBIA, 7, 38, 16, 15, 9, 0, 0, 0, 93, 35, 94, 288, 60, 88, 73, 24, 132, 126
41, CIVILIZATION_MACEDON, 7, 42, 22, 13, 22, 0, 0, 0, 77, 17, 95, 89, 82, 28, 37, 54, 334, 145
41, CIVILIZATION_BRAZIL, 6, 48, 15, 16, 23, 0, 0, 0, 83, 31, 274, 499, 44, 43, 66, 293, 267, 173
41, CIVILIZATION_GERMANY, 5, 38, 20, 15, 32, 0, 0, 0, 64, 24, 103, 518, 51, 55, 56, 75, 276, 136
41, CIVILIZATION_VIETNAM, 6, 36, 21, 13, 32, 0, 0, 0, 79, 42, 197, 210, 47, 43, 69, 120, 363, 118
41, CIVILIZATION_ROME, 5, 36, 22, 12, 35, 0, 0, 0, 67, 25, 265, 205, 74, 27, 62, 82, 321, 107
41, CIVILIZATION_BABYLON, 1, 8, 18, 12, 5, 0, 0, 0, 9, 7, 219, 0, 7, 5, 11, 0, 9, 24
41, CIVILIZATION_HATTUSA, 1, 6, 17, 13, 5, 0, 0, 0, 7, 5, 52, 0, 14, 5, 7, 0, 10, 13
41, CIVILIZATION_JOHANNESBURG, 1, 8, 19, 12, 4, 0, 0, 0, 10, 8, 265, 35, 7, 5, 18, 1, 7, 24
41, CIVILIZATION_LISBON, 1, 8, 18, 13, 4, 0, 0, 0, 11, 6, 176, 0, 7, 4, 12, 0, 7, 22
