Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
40, LOC_CITY_NAME_TIMBUKTU, 28.0, BUILDING_GRANARY, 28.0, 32, 0.0
40, LOC_CITY_NAME_WALATA, 17.0, BUILDING_TEMPLE, 69.0, 60, 9.0
40, LOC_CITY_NAME_KUMBI_SALEH, 11.0, BUILDING_SHRINE, 25.0, 35, 0.0
40, LOC_CITY_NAME_GAO, 7.0, DISTRICT_HOLY_SITE, 31.0, 61, 0.0
40, LOC_CITY_NAME_AWDAGHUST, 33.0, BUILDING_MARKET, 33.0, 60, 0.0
40, LOC_CITY_NAME_KIRINA, 4.0, DISTRICT_HOLY_SITE, 8.0, 73, 0.0
40, LOC_CITY_NAME_MEROE, 50.0, UNIT_BUILDER, 50.0, 55, 0.0
40, LOC_CITY_NAME_SEDEINGA, 50.5, UNIT_SETTLER, 179.9, 145, 16.9
40, LOC_CITY_NAME_KERMA, 31.3, BUILDING_LIBRARY, 31.3, 45, 0.0
40, LOC_CITY_NAME_KAWA, 19.6, DISTRICT_COMMERCIAL_HUB, 43.0, 39, 0.0
40, LOC_CITY_NAME_EL_KURRU, 14.6, BUILDING_MARKET, 14.6, 60, 0.0
40, LOC_CITY_NAME_QASR_IBRIM, 1.2, BUILDING_MONUMENT, 1.2, 30, 0.0
40, LOC_CITY_NAME_HEH, 1.6, DISTRICT_COMMERCIAL_HUB, 1.6, 85, 0.0
40, LOC_CITY_NAME_BORSIPPA, 13.0, DISTRICT_AQUEDUCT, 36.2, 48, 0.0
40, LOC_CITY_NAME_KARKAR, 26.9, UNIT_BUILDER, 26.9, 47, 0.0
40, LOC_CITY_NAME_BABYLON_STK, 30.7, UNIT_BUILDER, 30.7, 47, 0.0
40, LOC_CITY_NAME_BABYLON_STK, 26.9, UNIT_BUILDER, 57.6, 47, 10.7
40, LOC_CITY_NAME_SEDEINGA, 45.5, DISTRICT_INDUSTRIAL_ZONE, 45.5, 55, 0.0
41, LOC_CITY_NAME_PELLA, 81.2, BUILDING_WORKSHOP, 156.4, 80, 76.4
41, LOC_CITY_NAME_ALEXANDRIA_TROAS, 74.7, UNIT_SETTLER, 74.7, 100, 0.0
41, LOC_CITY_NAME_CHALKIDIKI, 20.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 39.5, 61, 0.0
41, LOC_CITY_NAME_ALEXANDRIA_LATMUS, 20.3, PROJECT_ENHANCE_DISTRICT_CAMPUS, 37.7, 61, 0.0
41, LOC_CITY_NAME_FEZ, 65.0, UNIT_CROSSBOWMAN, 65.0, 90, 0.0
41, LOC_CITY_NAME_METHONE, 38.9, BUILDING_WATER_MILL, 38.9, 40, 0.0
41, LOC_CITY_NAME_BUENOS_AIRES, 62.8, BUILDING_MONUMENT, 84.8, 30, 31.4
41, LOC_CITY_NAME_SAO_PAULO, 75.8, BUILDING_BARRACKS, 75.8, 45, 6.3
41, LOC_CITY_NAME_FORTALEZA, 82.8, UNIT_CROSSBOWMAN, 82.8, 90, 0.0
41, LOC_CITY_NAME_CURITIBA, 39.0, UNIT_CROSSBOWMAN, 124.0, 90, 44.0
41, LOC_CITY_NAME_SALVADOR, 37.3, UNIT_BUILDER, 73.4, 51, 22.4
41, LOC_CITY_NAME_JERUSALEM, 17.7, UNIT_BUILDER, 52.6, 53, 0.0
41, LOC_CITY_NAME_MAGDEBURG, 89.9, UNIT_BUILDER, 89.9, 53, 0.0
41, LOC_CITY_NAME_COLOGNE, 69.9, DISTRICT_ENCAMPMENT, 133.2, 82, 51.2
41, LOC_CITY_NAME_DORTMUND, 62.5, BUILDING_WALLS, 62.5, 50, 0.0
41, LOC_CITY_NAME_HEIDELBERG, 63.4, BUILDING_WALLS, 63.4, 50, 0.0
41, LOC_CITY_HA_NOI, 130.1, UNIT_BUILDER, 130.1, 61, 15.8
41, LOC_CITY_HUE, 75.3, UNIT_VIETNAMESE_VOI_CHIEN, 75.3, 100, 0.0
41, LOC_CITY_QUANG_TRI, 148.2, UNIT_BUILDER, 148.2, 63, 9.3
41, LOC_CITY_HOI_AN, 57.6, UNIT_VIETNAMESE_VOI_CHIEN, 138.5, 100, 53.2
41, LOC_CITY_HOA_LU, 40.7, BUILDING_OLD_GOD_OBELISK, 63.2, 30, 33.2
41, LOC_CITY_NAME_ROME, 71.1, PROJECT_ENHANCE_DISTRICT_CAMPUS, 71.1, 61, 31.0
41, LOC_CITY_NAME_ARRETIUM, 107.5, BUILDING_WORKSHOP, 107.5, 80, 0.0
41, LOC_CITY_NAME_ARPINUM, 77.6, BUILDING_LIBRARY, 77.6, 45, 18.5
41, LOC_CITY_NAME_LUGDUNUM, 74.3, UNIT_MAN_AT_ARMS, 74.3, 75, 0.0
41, LOC_CITY_NAME_CUMAE, 46.1, UNIT_MAN_AT_ARMS, 46.1, 75, 0.0
41, LOC_CITY_NAME_BABYLON, 28.5, UNIT_CROSSBOWMAN, 115.2, 90, 6.2
41, LOC_CITY_NAME_HATTUSA, 10.0, PROJECT_ENHANCE_DISTRICT_CAMPUS, 30.0, 51, 0.0
41, LOC_CITY_NAME_JOHANNESBURG, 21.0, BUILDING_WALLS, 42.0, 50, 0.0
41, LOC_CITY_NAME_LISBON, 7.2, BUILDING_WATER_MILL, 26.8, 40, 0.0
41, LOC_CITY_NAME_LISBON, 15.0, BUILDING_WATER_MILL, 41.8, 40, 1.8
41, LOC_CITY_NAME_VATICAN_CITY, 9.5, BUILDING_WATER_MILL, 28.5, 40, 0.0
41, LOC_CITY_NAME_VILNIUS, 31.2, UNIT_CROSSBOWMAN, 72.1, 90, 0.0
41, LOC_CITY_NAME_KUMASI, 6.5, BUILDING_WATER_MILL, 46.0, 40, 6.0
41, LOC_CITY_NAME_PRESLAV, 9.6, UNIT_TRADER, 17.6, 34, 0.0
41, LOC_CITY_NAME_RA_KEDET, 26.6, BUILDING_TEMPLE_ARTEMIS, 120.7, 110, 7.3
41, LOC_CITY_NAME_MEMPHIS, 35.1, DISTRICT_CAMPUS, 93.6, 75, 10.1
41, LOC_CITY_NAME_SWENETT, 32.5, BUILDING_MARKET, 75.6, 60, 15.6
41, LOC_CITY_NAME_IWNW, 9.3, BUILDING_MONUMENT, 23.8, 30, 0.0
41, LOC_CITY_NAME_NEKHEN, 8.1, DISTRICT_COMMERCIAL_HUB, 51.6, 65, 0.0
41, LOC_CITY_NAME_AKHETATEN, 16.6, DISTRICT_ENCAMPMENT, 36.5, 75, 0.0
41, LOC_CITY_NAME_SENA, 6.7, DISTRICT_COMMERCIAL_HUB, 12.0, 80, 0.0
41, LOC_CITY_NAME_BABYLON_STK, 45.3, UNIT_BUILDER, 45.3, 49, 0.0
41, LOC_CITY_NAME_BORSIPPA, 23.2, DISTRICT_AQUEDUCT, 59.4, 48, 11.4
41, LOC_CITY_NAME_KARKAR, 32.3, UNIT_BUILDER, 59.2, 49, 10.4
41, LOC_CITY_NAME_DUR_KURIGALZU, 13.9, DISTRICT_COMMERCIAL_HUB, 46.4, 65, 0.0
41, LOC_CITY_NAME_ESHNUNNA, 15.1, DISTRICT_COMMERCIAL_HUB, 40.6, 70, 0.0
41, LOC_CITY_NAME_MASHKAN_SHAPIR, 5.8, BUILDING_MONUMENT, 5.8, 30, 0.0
41, LOC_CITY_NAME_PATNA, 45.3, UNIT_KNIGHT, 45.3, 32, 0.0
41, LOC_CITY_NAME_CHENNAI, 27.8, BUILDING_LIBRARY, 67.7, 45, 22.7
41, LOC_CITY_NAME_DELHI, 12.8, BUILDING_WATER_MILL, 25.5, 40, 0.0
41, LOC_CITY_NAME_CALCUTTA, 9.3, BUILDING_WATER_MILL, 22.2, 40, 0.0
41, LOC_CITY_NAME_MUMBAI, 5.8, BUILDING_OLD_GOD_OBELISK, 13.9, 30, 0.0
41, LOC_CITY_NAME_JABALPUR, 5.8, BUILDING_OLD_GOD_OBELISK, 11.6, 30, 0.0
41, LOC_CITY_NAME_NIANI, 14.0, DISTRICT_GOVERNMENT, 40.0, 32, 7.0
