Game Turn, Player, Regional Strength, Enemy Strength, Other Strength, Current Explorers, Desired Explorers, Fav Tech, Combat Desire
40, 5, 726, 0, 177, 4:0, 2:1, TECH_STIRRUPS, 0.0
40, 6, 658, 0, 339, 9:0, 1:1, TECH_HORSEBACK_RIDING, 0.3
40, 7, 799, 0, 299, 11:0, 1:1, TECH_STIRRUPS, 0.3
40, 8, 1146, 281, 1131, 7:0, 1:1, TECH_STIRRUPS, 0.0
40, 9, 1387, 246, 181, 3:0, 1:1, TECH_STIRRUPS, 0.0
40, 10, 228, 0, 0, 0:0, 0:0, NO_TECH, 0.0
40, 12, 188, 0, 28, 0:0, 0:0, NO_TECH, 0.0
40, 13, 45, 0, 0, 0:0, 0:0, NO_TECH, 2.0
40, 14, 101, 0, 0, 0:0, 0:0, TECH_MILITARY_TACTICS, 2.0
40, 15, 316, 0, 0, 0:0, 0:0, NO_TECH, 0.0
40, 16, 321, 255, 0, 0:0, 0:0, TECH_STIRRUPS, 2.6
40, 17, 228, 0, 0, 0:0, 0:0, NO_TECH, 0.0
40, 20, 190, 0, 0, 0:0, 0:0, NO_TECH, 0.0
40, 21, 194, 0, 188, 0:0, 0:0, NO_TECH, 0.0
40, 62, 0, 0, 0, 0:0, 0:0, TECH_ARCHERY, 2.0
40, 0, 200, 0, 37, 3:0, 3:1, TECH_MILITARY_TACTICS, 2.4
40, 1, 28, 0, 194, 1:0, 1:1, TECH_IRON_WORKING, 2.4
40, 2, 40, 0, 25, 3:0, 3:1, TECH_STIRRUPS, 3.0
40, 3, 20, 0, 38, 3:0, 1:1, TECH_THE_WHEEL, 2.9
40, 4, 266, 367, 190, 1:0, 1:1, TECH_STIRRUPS, 2.7
41, 5, 710, 0, 167, 4:0, 2:1, TECH_STIRRUPS, 0.0
41, 6, 593, 0, 377, 9:0, 1:1, TECH_HORSEBACK_RIDING, 0.3
41, 7, 850, 0, 311, 11:0, 1:1, TECH_STIRRUPS, 0.3
41, 8, 1134, 281, 1467, 7:0, 1:1, TECH_STIRRUPS, 2.0
41, 9, 1703, 246, 177, 5:0, 1:1, TECH_STIRRUPS, 0.0
41, 10, 184, 0, 0, 0:0, 0:0, NO_TECH, 0.0
41, 12, 188, 0, 28, 0:0, 0:0, NO_TECH, 0.0
41, 13, 53, 0, 0, 0:0, 0:0, NO_TECH, 2.0
41, 14, 126, 0, 0, 0:0, 0:0, TECH_MILITARY_TACTICS, 0.0
41, 15, 240, 0, 0, 0:0, 0:0, NO_TECH, 0.0
41, 16, 285, 255, 0, 0:0, 0:0, TECH_STIRRUPS, 2.1
41, 17, 244, 0, 0, 0:0, 0:0, NO_TECH, 0.0
41, 20, 190, 0, 0, 0:0, 0:0, NO_TECH, 0.0
41, 21, 190, 0, 188, 0:0, 0:0, NO_TECH, 0.0
41, 62, 0, 0, 0, 0:0, 0:0, TECH_ARCHERY, 2.0
41, 0, 235, 0, 60, 3:0, 3:1, TECH_MILITARY_TACTICS, 2.7
41, 1, 28, 0, 270, 1:0, 1:1, TECH_MILITARY_TACTICS, 2.4
41, 2, 90, 0, 0, 3:0, 3:1, TECH_MILITARY_TACTICS, 2.9
41, 3, 20, 0, 38, 3:0, 1:1, TECH_ARCHERY, 2.9
41, 4, 206, 413, 190, 1:0, 1:1, TECH_STIRRUPS, 11.6
42, 5, 713, 0, 196, 4:0, 2:1, TECH_STIRRUPS, 0.0
42, 6, 633, 0, 354, 9:0, 1:1, TECH_HORSEBACK_RIDING, 0.2
42, 7, 844, 0, 352, 12:0, 1:1, TECH_STIRRUPS, 0.6
42, 8, 1116, 184, 1611, 7:0, 1:1, TECH_STIRRUPS, 2.0
42, 9, 1749, 216, 263, 3:0, 1:1, TECH_STIRRUPS, 0.0
42, 10, 148, 0, 0, 0:0, 0:0, NO_TECH, 0.0
42, 12, 188, 0, 64, 0:0, 0:0, NO_TECH, 0.0
42, 13, 89, 0, 0, 0:0, 0:0, NO_TECH, 0.0
42, 14, 126, 36, 0, 0:0, 0:0, TECH_STIRRUPS, 0.0
42, 15, 240, 0, 0, 0:0, 0:0, NO_TECH, 0.0
42, 16, 213, 169, 0, 0:0, 0:0, TECH_STIRRUPS, 2.1
42, 17, 244, 0, 0, 0:0, 0:0, NO_TECH, 0.0
42, 20, 190, 0, 0, 0:0, 0:0, NO_TECH, 0.0
42, 21, 190, 0, 152, 0:0, 0:0, NO_TECH, 0.0
42, 62, 0, 0, 0, 0:0, 0:0, TECH_ARCHERY, 2.0
42, 0, 200, 36, 60, 3:0, 3:1, TECH_MILITARY_TACTICS, 2.8
42, 1, 28, 0, 205, 1:0, 1:1, TECH_MILITARY_TACTICS, 2.6
42, 2, 90, 0, 40, 3:0, 1:1, TECH_CASTLES, 2.9
42, 3, 20, 0, 60, 3:0, 1:1, TECH_MILITARY_TACTICS, 3.0
42, 4, 206, 252, 165, 1:0, 1:1, TECH_STIRRUPS, 3.9
43, 5, 820, 0, 175, 6:0, 2:1, TECH_STIRRUPS, -0.1
43, 6, 749, 0, 367, 9:0, 1:1, TECH_HORSEBACK_RIDING, 0.1
43, 7, 885, 0, 281, 12:0, 1:1, TECH_STIRRUPS, 0.5
43, 8, 1120, 188, 1359, 7:0, 1:1, TECH_STIRRUPS, 2.0
43, 9, 1624, 66, 298, 4:0, 1:1, TECH_STIRRUPS, 0.0
43, 10, 148, 0, 0, 0:0, 0:0, NO_TECH, 0.0
43, 12, 188, 0, 36, 0:0, 0:0, NO_TECH, 0.0
43, 13, 61, 0, 0, 0:0, 0:0, NO_TECH, 2.0
43, 14, 106, 36, 0, 0:0, 0:0, TECH_STIRRUPS, 2.0
43, 15, 144, 0, 0, 0:0, 0:0, NO_TECH, 0.0
43, 16, 253, 158, 0, 0:0, 0:0, TECH_STIRRUPS, 0.0
43, 17, 240, 0, 0, 0:0, 0:0, NO_TECH, 0.0
43, 20, 270, 0, 0, 0:0, 0:0, NO_TECH, 0.0
43, 21, 226, 0, 152, 0:0, 0:0, NO_TECH, 0.0
43, 62, 0, 0, 0, 0:0, 0:0, TECH_ARCHERY, 2.0
43, 0, 155, 36, 40, 3:0, 3:1, TECH_MILITARY_TACTICS, 2.6
43, 1, 28, 0, 241, 1:0, 1:1, TECH_MILITARY_TACTICS, 2.7
43, 2, 90, 0, 40, 3:0, 1:1, TECH_CASTLES, 2.9
43, 3, 20, 0, 90, 3:0, 1:1, TECH_MILITARY_TACTICS, 3.1
43, 4, 206, 249, 205, 1:0, 1:1, TECH_STIRRUPS, 4.5
44, 5, 958, 0, 287, 5:0, 2:1, TECH_GUNPOWDER, -0.1
