Game Turn, Player, KnowledgeType, Location, Other
40, 5, ARMY,, UNIT_SETTLER 2 21,UNIT_BUILDER 4 8,UNIT_TRADER 1 2,UNIT_GREAT_PROPHET 1 11,UNIT_SCOUT 6 10,UNIT_WARRIOR 7 15,UNIT_ARCHER 5 10,UNIT_CROSSBOWMAN 2 0,UNIT_MACEDONIAN_HYPASPIST 4 0,UNIT_MACEDONIAN_HETAIROI 9 0,UNIT_SKIRMISHER 3 0,UNIT_VAMPIRE 1 0,
40, 5, ARMY,, UNIT_SETTLER 3 19,UNIT_BUILDER 13 18,UNIT_GREAT_MERCHANT 1 2,UNIT_SCOUT 8 7,UNIT_WARRIOR 8 10,UNIT_HEAVY_CHARIOT 1 0,UNIT_SWORDSMAN 10 0,UNIT_CATAPULT 2 0,UNIT_SKIRMISHER 7 0,UNIT_TAOIST 1 0,
40, 5, ARMY,, UNIT_SETTLER 3 10,UNIT_BUILDER 10 18,UNIT_GREAT_WRITER 3 7,UNIT_SCOUT 7 5,UNIT_WARRIOR 18 11,UNIT_SWORDSMAN 12 0,UNIT_SKIRMISHER 6 0,UNIT_TAOIST 1 0,
40, 5, ARMY,, UNIT_SETTLER 2 10,UNIT_BUILDER 14 16,UNIT_GREAT_PROPHET 1 15,UNIT_SCOUT 6 7,UNIT_WARRIOR 9 11,UNIT_ARCHER 4 2,UNIT_SWORDSMAN 9 1,UNIT_HORSEMAN 8 3,UNIT_CATAPULT 2 0,UNIT_SKIRMISHER 4 0,UNIT_VIETNAMESE_VOI_CHIEN 5 0,
40, 5, ARMY,, UNIT_SETTLER 2 15,UNIT_BUILDER 11 16,UNIT_GREAT_PROPHET 1 11,UNIT_SCOUT 7 13,UNIT_WARRIOR 12 13,UNIT_ARCHER 10 12,UNIT_HORSEMAN 3 5,UNIT_ROMAN_LEGION 14 6,UNIT_CATAPULT 3 0,UNIT_CROSSBOWMAN 10 0,UNIT_MAN_AT_ARMS 6 0,UNIT_SKIRMISHER 6 4,
40, 5, ARMY,, 
40, 5, ARMY,, 
40, 5, ARMY,, 
40, 5, ARMY,, 
40, 5, ARMY,, UNIT_BUILDER 2 12,UNIT_WARRIOR 2 6,
40, 5, ARMY,, 
40, 5, ARMY,, UNIT_BUILDER 3 15,UNIT_WARRIOR 6 15,UNIT_SWORDSMAN 6 2,UNIT_CATAPULT 1 1,UNIT_CROSSBOWMAN 1 0,
40, 5, ARMY,, 
40, 5, ARMY,, 
40, 5, ARMY,, 
40, 5, ARMY,, 
40, 5, ARMY,, 
40, 5, ARMY,, 
40, 5, ARMY,, 
40, 5, WAR 0, , Is active, -4.00, 0.00
40, 5, WAR 1, , Is active, 0.00, 0.00
40, 5, WAR 2, , Is active, 0.00, 0.00
40, 5, WAR 3, , Is active, 0.00, 0.00
40, 5, WAR 4, , Is active, 0.00, 0.00
40, 5, WAR 10, , Is active, 0.00, 0.00
40, 5, WAR 11, , Is active, 15.61, 0.00
40, 5, WAR 13, , Is active, 0.00, 0.00
40, 5, WAR 15, , Is active, 0.00, 0.00
40, 5, WAR 16, , Is active, 0.00, 0.00
40, 5, WAR 18, , Is active, 51.80, 0.00
40, 5, WAR 19, , Is active, 138.22, 0.00
40, 5, WAR 20, , Is active, 0.00, 0.00
40, 5, WAR 21, , Is active, 0.00, 0.00
40, 6, START LOG, , YIELD_FOOD 21.58 +/- 7.59,YIELD_PRODUCTION 35.95 +/- 22.90,YIELD_GOLD 10.10 +/- 9.58,YIELD_SCIENCE 8.30 +/- 6.52,YIELD_CULTURE 7.24 +/- 8.46,YIELD_FAITH 12.50 +/- 18.62,
40, 6, TRADE, TO -1, VAL 0.00
40, 6, CITY, 26:70, 0, 9, 100, 33.00, 1, 2, 45, 165, 2, Is original capital, Is capital
