Game Turn, Player, Strategy, Status
41, 2, STRATEGY_EARLY_EXPLORATION, Stopped
41, 3, STRATEGY_RAPID_EXPANSION, Stopped
41, 3, STRATEGY_RAPID_EXPANSION, Following
42, 3, STRATEGY_MEDIEVAL_CHANGES, Following
42, 4, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
42, 3, STRATEGY_MEDIEVAL_CHANGES, Stopped
44, 2, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
44, 4, STRATEGY_RENAISSANCE_CHANGES, Following
44, 2, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
44, 2, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
45, 7, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
45, 7, STRATEGY_RENAISSANCE_CHANGES, Following
47, 8, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
47, 8, STRATEGY_RENAISSANCE_CHANGES, Following
47, 9, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
47, 0, STRATEGY_RAPID_EXPANSION, Stopped
47, 0, STRATEGY_RAPID_EXPANSION, Following
47, 0, STRATEGY_RAPID_EXPANSION, Stopped
48, 8, STRATEGY_DARKAGE, Following
48, 9, STRATEGY_RENAISSANCE_CHANGES, Following
48, 1, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
48, 1, STRATEGY_RENAISSANCE_CHANGES, Following
48, 1, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
48, 1, STRATEGY_RENAISSANCE_CHANGES, Stopped
48, 1, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
48, 1, STRATEGY_RENAISSANCE_CHANGES, Following
48, 1, VICTORY_STRATEGY_SCIENCE_VICTORY, Stopped
48, 1, STRATEGY_RENAISSANCE_CHANGES, Stopped
48, 1, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
48, 1, STRATEGY_RENAISSANCE_CHANGES, Following
49, 5, STRATEGY_RENAISSANCE_CHANGES, Following
50, 9, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
50, 0, VICTORY_STRATEGY_MILITARY_VICTORY, Following
50, 1, VICTORY_STRATEGY_MILITARY_VICTORY, Stopped
50, 3, STRATEGY_RENAISSANCE_CHANGES, Following
50, 1, VICTORY_STRATEGY_MILITARY_VICTORY, Following
51, 6, STRATEGY_RENAISSANCE_CHANGES, Following
51, 8, VICTORY_STRATEGY_DIPLOMATIC_VICTORY, Following
51, 2, STRATEGY_RENAISSANCE_CHANGES, Following
51, 4, STRATEGY_INDUSTRIAL_CHANGES, Following
51, 2, STRATEGY_RENAISSANCE_CHANGES, Stopped
51, 2, STRATEGY_RENAISSANCE_CHANGES, Following
51, 2, STRATEGY_RENAISSANCE_CHANGES, Stopped
52, 6, VICTORY_STRATEGY_CULTURAL_VICTORY, Following
52, 0, STRATEGY_RENAISSANCE_CHANGES, Following
52, 0, STRATEGY_RENAISSANCE_CHANGES, Stopped
52, 0, STRATEGY_RENAISSANCE_CHANGES, Following
53, 1, STRATEGY_MEDIEVAL_CHANGES, Following
53, 1, STRATEGY_MEDIEVAL_CHANGES, Stopped
53, 1, STRATEGY_MEDIEVAL_CHANGES, Following
53, 1, STRATEGY_MEDIEVAL_CHANGES, Stopped
53, 1, STRATEGY_MEDIEVAL_CHANGES, Following
55, 7, STRATEGY_INDUSTRIAL_CHANGES, Following
55, 8, STRATEGY_INDUSTRIAL_CHANGES, Following
55, 1, STRATEGY_INDUSTRIAL_CHANGES, Following
55, 2, STRATEGY_MEDIEVAL_CHANGES, Following
55, 1, STRATEGY_INDUSTRIAL_CHANGES, Stopped
56, 5, VICTORY_STRATEGY_SCIENCE_VICTORY, Following
57, 6, STRATEGY_INDUSTRIAL_CHANGES, Following
59, 5, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Following
59, 5, STRATEGY_INDUSTRIAL_CHANGES, Following
59, 5, VICTORY_STRATEGY_DIPLOMATIC_VICTORY, Following
59, 9, STRATEGY_INDUSTRIAL_CHANGES, Following
59, 0, STRATEGY_INDUSTRIAL_CHANGES, Following
