Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
40, 5, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_SKIRMISHER (3407892), Available Units: 1
40, 5, Promote, , , UNIT_CROSSBOWMAN (3604482), 
40, 5, Garrison, , , UNIT_MACEDONIAN_HETAIROI (3014660), Move To: 26 70
40, 5, Wander Back to City, , , UNIT_MACEDONIAN_HYPASPIST (2883589), Move To: 26 70
40, 5, Wander Back to City, , , UNIT_VAMPIRE (655367), Move To: 23 72
40, 5, Wander, , , UNIT_MACEDONIAN_HETAIROI (2031624), Move To: 20 62
40, 5, Wander, , , UNIT_MACEDONIAN_HYPASPIST (2949130), Move To: 30 68
40, 5, Wander, , , UNIT_MACEDONIAN_HETAIROI (2097163), Move To: 25 68
40, 5, Wander Back to City, , , UNIT_MACEDONIAN_HETAIROI (2555916), Move To: 23 72
40, 5, Wander, , , UNIT_MACEDONIAN_HYPASPIST (2490383), Move To: 22 68
40, 5, Wander Back to City, , , UNIT_MACEDONIAN_HETAIROI (1769493), Move To: 22 63
40, 5, Wander Back to City, , , UNIT_MACEDONIAN_HETAIROI (1900567), Move To: 15 70
40, 5, Wander, , , UNIT_MACEDONIAN_HETAIROI (1966104), Move To: 29 70
40, 5, Wander, , , UNIT_MACEDONIAN_HETAIROI (2228249), Move To: 17 67
40, 5, Wander, , , UNIT_MACEDONIAN_HYPASPIST (2687003), Move To: 23 59
40, 5, Wander Back to City, , , UNIT_CROSSBOWMAN (3342365), Move To: 35 74
40, 5, HL: Move Missionary, , , UNIT_MISSIONARY (2621441), Move: 22 71 -> 1 27 Dist: 44
40, 5, HL: Move Missionary, , , UNIT_MISSIONARY (3276806), Move: 23 71 -> 1 27 Dist: 44
40, 5, HL: Move Missionary, , , UNIT_MISSIONARY (2359305), Move: 25 64 -> 1 27 Dist: 42
40, 5, HL: Move Missionary, , , UNIT_MISSIONARY (2424850), Move: 27 66 -> 1 27 Dist: 45
40, 5, HL: Move Missionary, , , UNIT_MISSIONARY (3080222), Move: 24 72 -> 28 68 Dist: 6
40, 5, HL: Build Improvement, , , UNIT_BUILDER, Move -9999 -9999
40, 5, HL: Explore, , , UNIT_SKIRMISHER (3211278), Move To: 26 78
40, 5, HL: Explore, , , UNIT_SKIRMISHER (3145759), Move To: 21 77
40, 5, HL: End Turn, , , UNIT_SKIRMISHER (3211278)
40, 5, HL: End Turn, , , UNIT_SKIRMISHER (3145759)
40, 5, HL: End Turn, , , UNIT_BUILDER (3473440)
40, 6, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_SKIRMISHER (4063245), Available Units: 1
40, 6, Heal, , , UNIT_SWORDSMAN (3932201), 
40, 6, Wander, , , UNIT_SWORDSMAN (4456450), Move To: 19 52
40, 6, Garrison, , , UNIT_SWORDSMAN (2818054), Move To: 9 57
40, 6, Garrison, , , UNIT_SWORDSMAN (2686985), Move To: 13 58
40, 6, Wander, , , UNIT_SWORDSMAN (4587534), Move To: 17 57
