Game Turn, Player, Action, , 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 62, 63
40, 5, ,, -31:DIPLO_STATE_WAR, -67:DIPLO_STATE_WAR, -40:DIPLO_STATE_WAR, -64:DIPLO_STATE_WAR, -54:DIPLO_STATE_WAR,, 6:DIPLO_STATE_ALLIED, 12:DIPLO_STATE_ALLIED, 12:DIPLO_STATE_ALLIED, 22:DIPLO_STATE_ALLIED, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 3:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
44, 1, ,, 40:DIPLO_STATE_ALLIED,, 29:DIPLO_STATE_ALLIED, 25:DIPLO_STATE_ALLIED, 39:DIPLO_STATE_ALLIED, -5:DIPLO_STATE_WAR, 3:DIPLO_STATE_WAR, 2:DIPLO_STATE_WAR, -4:DIPLO_STATE_WAR, -2:DIPLO_STATE_WAR, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 1:DIPLO_STATE_INFLUENTIAL, 4:DIPLO_STATE_MAX_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 1:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 3:DIPLO_STATE_MAX_INFLUENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
44, 1, Threat and Trust,, 17.70:6:4.00,, 10.16:7:2.00, 10.16:7:4.00, 10.16:7:6.00, 100.20:5:-10.00, 101.41:4:-5.00, 103.45:3:0.00, 115.70:2:0.00, 132.61:1:2.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
44, 2, ,, 38:DIPLO_STATE_ALLIED, -21:DIPLO_STATE_ALLIED,, 19:DIPLO_STATE_ALLIED, 42:DIPLO_STATE_ALLIED, -1:DIPLO_STATE_WAR, 3:DIPLO_STATE_WAR, 3:DIPLO_STATE_WAR, 17:DIPLO_STATE_WAR, 7:DIPLO_STATE_WAR, 1:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 3:DIPLO_STATE_MAX_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
44, 2, Threat and Trust,, 16.00:6:4.00, 10.16:7:2.00,, 10.16:7:4.00, 10.16:7:10.00, 98.50:5:-10.00, 99.70:4:-5.00, 101.75:3:0.00, 114.00:2:0.00, 130.91:1:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
44, 3, ,, 22:DIPLO_STATE_ALLIED, 18:DIPLO_STATE_ALLIED, 35:DIPLO_STATE_ALLIED,, 24:DIPLO_STATE_ALLIED, -19:DIPLO_STATE_WAR, -5:DIPLO_STATE_WAR, -14:DIPLO_STATE_WAR, 8:DIPLO_STATE_WAR, -6:DIPLO_STATE_WAR, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 1:DIPLO_STATE_INFLUENTIAL, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
44, 3, Threat and Trust,, 19.11:6:6.00, 10.16:7:4.00, 10.16:7:4.00,, 10.16:7:14.00, 101.61:5:-10.00, 102.80:4:-5.00, 104.86:3:0.00, 117.11:2:0.00, 134.00:1:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
44, 4, ,, 59:DIPLO_STATE_ALLIED, -9:DIPLO_STATE_ALLIED, 4:DIPLO_STATE_ALLIED, -1:DIPLO_STATE_ALLIED,, 6:DIPLO_STATE_WAR, -7:DIPLO_STATE_WAR, -7:DIPLO_STATE_WAR, 1:DIPLO_STATE_WAR, -7:DIPLO_STATE_WAR, 3:DIPLO_STATE_MAX_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 1:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 3:DIPLO_STATE_MAX_INFLUENCE, 1:DIPLO_STATE_INFLUENTIAL, 3:DIPLO_STATE_MAX_INFLUENCE, 1:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 3:DIPLO_STATE_MAX_INFLUENCE, 2:DIPLO_STATE_INFLUENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
44, 4, Threat and Trust,, 10.16:7:8.00, 10.16:7:6.00, 10.16:7:10.00, 10.16:7:14.00,, 95.16:5:-10.00, 96.36:4:-5.00, 98.41:3:2.00, 110.66:2:0.00, 127.55:1:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
44, 2, ,, 38:DIPLO_STATE_ALLIED, -21:DIPLO_STATE_ALLIED,, 19:DIPLO_STATE_ALLIED, 42:DIPLO_STATE_ALLIED, -1:DIPLO_STATE_WAR, 3:DIPLO_STATE_WAR, 3:DIPLO_STATE_WAR, 17:DIPLO_STATE_WAR, 7:DIPLO_STATE_WAR, 1:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 3:DIPLO_STATE_MAX_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
44, 2, Threat and Trust,, 16.00:6:4.00, 10.16:7:2.00,, 10.16:7:4.00, 10.16:7:12.00, 98.50:5:-10.00, 99.70:4:-5.00, 101.75:3:0.00, 114.00:2:0.00, 130.91:1:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
44, 1, ,, 40:DIPLO_STATE_ALLIED,, 29:DIPLO_STATE_ALLIED, 25:DIPLO_STATE_ALLIED, 39:DIPLO_STATE_ALLIED, -5:DIPLO_STATE_WAR, 3:DIPLO_STATE_WAR, 2:DIPLO_STATE_WAR, -4:DIPLO_STATE_WAR, -2:DIPLO_STATE_WAR, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 1:DIPLO_STATE_INFLUENTIAL, 4:DIPLO_STATE_MAX_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 1:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 2:DIPLO_STATE_MAX_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 3:DIPLO_STATE_MAX_INFLUENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
44, 1, Threat and Trust,, 17.70:6:4.00,, 10.16:7:2.00, 10.16:7:4.00, 10.16:7:6.00, 100.20:5:-10.00, 101.41:4:-5.00, 103.45:3:0.00, 115.70:2:0.00, 132.61:1:2.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
44, 2, ,, 38:DIPLO_STATE_ALLIED, -21:DIPLO_STATE_ALLIED,, 19:DIPLO_STATE_ALLIED, 42:DIPLO_STATE_ALLIED, -1:DIPLO_STATE_WAR, 3:DIPLO_STATE_WAR, 3:DIPLO_STATE_WAR, 17:DIPLO_STATE_WAR, 7:DIPLO_STATE_WAR, 1:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 3:DIPLO_STATE_MAX_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 2:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
44, 2, Threat and Trust,, 16.00:6:4.00, 10.16:7:2.00,, 10.16:7:4.00, 10.16:7:12.00, 98.50:5:-10.00, 99.70:4:-5.00, 101.75:3:0.00, 114.00:2:0.00, 130.91:1:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
44, 0, ,,, -14:DIPLO_STATE_ALLIED, 6:DIPLO_STATE_ALLIED, -11:DIPLO_STATE_ALLIED, 43:DIPLO_STATE_ALLIED, 8:DIPLO_STATE_WAR, -5:DIPLO_STATE_WAR, -5:DIPLO_STATE_WAR, -5:DIPLO_STATE_WAR, -11:DIPLO_STATE_WAR, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 1:DIPLO_STATE_INFLUENTIAL, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 0:DIPLO_STATE_NO_INFLUENCE, 2:DIPLO_STATE_INFLUENTIAL, 1:DIPLO_STATE_INFLUENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
44, 0, Threat and Trust,,, 10.16:6:5.00, 10.16:6:4.00, 10.16:6:6.00, 10.16:6:9.00, 92.66:5:-10.00, 93.86:4:-5.00, 95.91:3:0.00, 108.16:2:0.00, 125.05:1:2.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
45, 5, ,, -26:DIPLO_STATE_WAR, -46:DIPLO_STATE_WAR, -27:DIPLO_STATE_WAR, -53:DIPLO_STATE_WAR, -16:DIPLO_STATE_WAR,, 8:DIPLO_STATE_ALLIED, 22:DIPLO_STATE_ALLIED, 22:DIPLO_STATE_ALLIED, 22:DIPLO_STATE_ALLIED, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
45, 5, Threat and Trust,, 10.16:6:2.00, 10.16:6:1.00, 10.16:6:2.00, 10.16:6:2.00, 10.16:6:6.00,, 60.16:3:-5.00, 60.16:3:1.00, 71.95:2:0.00, 88.86:1:2.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
45, 6, ,, -73:DIPLO_STATE_WAR, -63:DIPLO_STATE_WAR, -64:DIPLO_STATE_WAR, -74:DIPLO_STATE_WAR, -86:DIPLO_STATE_WAR, -41:DIPLO_STATE_ALLIED,, 11:DIPLO_STATE_ALLIED, 9:DIPLO_STATE_ALLIED, 1:DIPLO_STATE_ALLIED, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
45, 6, Threat and Trust,, 10.16:6:2.00, 10.16:6:1.00, 10.16:6:2.00, 10.16:6:2.00, 10.16:6:6.00, 60.16:3:-10.00,, 60.16:3:1.00, 73.80:2:0.00, 90.70:1:2.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
45, 7, ,, -73:DIPLO_STATE_WAR, -77:DIPLO_STATE_WAR, -85:DIPLO_STATE_WAR, -78:DIPLO_STATE_WAR, -96:DIPLO_STATE_WAR, -35:DIPLO_STATE_ALLIED, -3:DIPLO_STATE_ALLIED,, 3:DIPLO_STATE_ALLIED, 2:DIPLO_STATE_ALLIED, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
45, 7, Threat and Trust,, 10.16:6:2.00, 10.16:6:1.00, 10.16:6:1.00, 10.16:6:2.00, 10.16:6:6.00, 60.16:3:-10.00, 60.16:3:-5.00,, 69.00:2:0.00, 85.91:1:2.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
45, 8, ,, -105:DIPLO_STATE_WAR, -104:DIPLO_STATE_WAR, -76:DIPLO_STATE_WAR, -83:DIPLO_STATE_WAR, -96:DIPLO_STATE_WAR, -37:DIPLO_STATE_ALLIED, -16:DIPLO_STATE_ALLIED, -12:DIPLO_STATE_ALLIED,, 23:DIPLO_STATE_ALLIED, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
45, 8, Threat and Trust,, 10.16:6:2.00, 10.16:6:1.00, 10.16:6:2.00, 10.16:6:2.00, 10.16:6:6.00, 60.16:2:-10.00, 60.16:2:-5.00, 60.16:2:1.00,, 108.70:1:2.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
45, 9, ,, -88:DIPLO_STATE_WAR, -85:DIPLO_STATE_WAR, -59:DIPLO_STATE_WAR, -73:DIPLO_STATE_WAR, -70:DIPLO_STATE_WAR, -46:DIPLO_STATE_ALLIED, 2:DIPLO_STATE_ALLIED, -13:DIPLO_STATE_ALLIED, 3:DIPLO_STATE_ALLIED,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR, 0:DIPLO_STATE_WAR_WITH_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:DIPLO_STATE_FREE_CITIES_NEUTRAL, 0:
45, 9, Threat and Trust,, 10.16:6:2.00, 10.16:6:2.00, 10.16:6:0.00, 10.16:6:0.00, 10.16:6:1.00, 60.16:1:-10.00, 60.16:1:-5.00, 60.16:1:1.00, 60.16:1:0.00,, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00, 0.00:11:0.00
45, 10, ,, 0:DIPLO_STATE_AWARE, 2:DIPLO_STATE_PATRON, 1:DIPLO_STATE_PATRON, 0:DIPLO_STATE_AWARE, 3:DIPLO_STATE_PATRON, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
45, 10, Threat and Trust,, 10.16:6:0.00, 10.16:6:0.00, 10.16:6:0.00, 10.16:6:0.00, 10.16:6:0.00, 98.16:4:0.00, 96.30:5:0.00, 101.11:3:0.00, 113.50:2:0.00, 126.36:1:0.00,,,,, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00
45, 12, ,, 1:DIPLO_STATE_PATRON, 1:DIPLO_STATE_PATRON, 0:DIPLO_STATE_AWARE, 1:DIPLO_STATE_PATRON, 1:DIPLO_STATE_PATRON,,,,,,,,,,,,, 0:DIPLO_STATE_MINOR_MINOR,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
45, 12, Threat and Trust,, 10.16:1:0.00, 10.16:1:0.00, 10.16:1:0.00, 10.16:1:0.00, 10.16:1:0.00,,,,,,,,,,,,, 0.00:6:0.00,,,, 0.00:6:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:6:0.00
45, 13, ,, 0:DIPLO_STATE_AWARE, 4:DIPLO_STATE_PATRON, 0:DIPLO_STATE_AWARE, 2:DIPLO_STATE_PATRON, 0:DIPLO_STATE_AWARE, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR,,,,, 0:DIPLO_STATE_MINOR_MINOR,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
45, 13, Threat and Trust,, 16.00:6:0.00, 10.16:7:0.00, 10.16:7:0.00, 10.16:7:0.00, 10.16:7:0.00, 102.20:4:0.00, 100.36:5:0.00, 105.16:3:0.00, 117.55:2:0.00, 130.41:1:0.00,,,,, 0.00:11:0.00,, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00
45, 14, ,, 0:DIPLO_STATE_AWARE, 0:DIPLO_STATE_AWARE, 0:DIPLO_STATE_AWARE, 0:DIPLO_STATE_AWARE, 3:DIPLO_STATE_PATRON, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_MINOR_MINOR, 0:DIPLO_STATE_MINOR_MINOR,, 0:DIPLO_STATE_MINOR_MINOR,, 0:DIPLO_STATE_MINOR_MINOR, 0:DIPLO_STATE_MINOR_MINOR,,, 0:DIPLO_STATE_MINOR_MINOR, 0:DIPLO_STATE_MINOR_MINOR, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
45, 14, Threat and Trust,, 17.86:6:0.00, 10.16:8:0.00, 10.16:8:0.00, 10.16:8:0.00, 15.36:7:0.00, 104.05:4:0.00, 102.20:5:0.00, 107.00:3:0.00, 119.41:2:0.00, 132.25:1:0.00, 0.00:11:0.00, 0.00:11:0.00,, 0.00:11:0.00,, 0.00:11:0.00, 0.00:11:0.00,,, 0.00:11:0.00, 0.00:11:0.00, 0.00:11:0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0.00:11:0.00
45, 15, ,, 0:DIPLO_STATE_AWARE, 1:DIPLO_STATE_PATRON, 3:DIPLO_STATE_PATRON, 2:DIPLO_STATE_PATRON, 1:DIPLO_STATE_PATRON, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR, 0:DIPLO_STATE_WAR_WITH_MAJOR,,,,, 0:DIPLO_STATE_MINOR_MINOR,, 0:DIPLO_STATE_MINOR_MINOR,,,, 0:DIPLO_STATE_MINOR_MINOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, 0:
