Game Turn, Player, Action, Tech, Score, Boost, Turns
40, 5, Tech, TECH_POTTERY, 0.0, OWNED, -1
40, 5, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED, -1
40, 5, Tech, TECH_MINING, 0.0, OWNED, -1
40, 5, Tech, TECH_SAILING, 0.0, OWNED, -1
40, 5, Tech, TECH_ASTROLOGY, 0.0, OWNED, -1
40, 5, Tech, TECH_IRRIGATION, 0.0, OWNED, -1
40, 5, Tech, TECH_ARCHERY, 0.0, OWNED, -1
40, 5, Tech, TECH_WRITING, 0.0, OWNED, -1
40, 5, Tech, TECH_MASONRY, 0.0, OWNED, -1
40, 5, Tech, TECH_BRONZE_WORKING, 0.0, OWNED, -1
40, 5, Tech, TECH_THE_WHEEL, 0.0, OWNED, -1
40, 5, Tech, TECH_CELESTIAL_NAVIGATION, 0.0, OWNED, -1
40, 5, Tech, TECH_CURRENCY, 0.0, OWNED, -1
40, 5, Tech, TECH_HORSEBACK_RIDING, 0.0, OWNED, -1
40, 5, Tech, TECH_IRON_WORKING, 0.0, OWNED, -1
40, 5, Tech, TECH_SHIPBUILDING, 0.0, OWNED, -1
40, 5, Tech, TECH_MATHEMATICS, 0.0, OWNED, -1
40, 5, Tech, TECH_CONSTRUCTION, 0.0, OWNED, -1
40, 5, Tech, TECH_ENGINEERING, 0.0, OWNED, -1
40, 5, Tech, TECH_MILITARY_TACTICS, 1213.5, BOOSTED, 2
40, 5, Tech, TECH_APPRENTICESHIP, 0.0, OWNED, -1
40, 5, Tech, TECH_MACHINERY, 0.0, OWNED, -1
40, 5, Tech, TECH_EDUCATION, 296.9, , 3
40, 5, Tech, TECH_STIRRUPS, 1273.2, , 3
40, 5, Tech, TECH_MILITARY_ENGINEERING, 380.0, RESEARCHING, 1
40, 5, Tech, TECH_CASTLES, 609.3, BOOSTED, 2
40, 5, Tech, TECH_CARTOGRAPHY, 799.6, , 8
40, 5, Tech, TECH_MASS_PRODUCTION, 1704.8, BOOSTED, 11
40, 5, Tech, TECH_BANKING, 1471.8, , 11
40, 5, Tech, TECH_GUNPOWDER, 1721.6, GOAL, 9
40, 5, Tech, TECH_PRINTING, 99.2, , 5
40, 5, Tech, TECH_SQUARE_RIGGING, 852.9, , 14
40, 5, Tech, TECH_ASTRONOMY, 201.1, , 9
40, 5, Tech, TECH_METAL_CASTING, 1883.0, BOOSTED, 13
40, 5, Tech, TECH_SIEGE_TACTICS, 687.0, , 8
40, 5, Tech, TECH_SCIENTIFIC_THEORY, 1584.3, , 24
40, 5, Tech, TECH_MILITARY_SCIENCE, 1480.5, , 20
40, 5, Tech, TECH_BUTTRESS, 292.7, , 3
40, 5, Tech Contract 465, TECH_ECONOMICS, 0.0
40, 5, Tech Contract 626, TECH_ECONOMICS, 1253.0
40, 5, Tech Contract 670, TECH_EDUCATION, 178.0
40, 6, Tech, TECH_POTTERY, 0.0, OWNED, -1
40, 6, Tech, TECH_ANIMAL_HUSBANDRY, 1247.1, BOOSTED, 1
40, 6, Tech, TECH_MINING, 0.0, OWNED, -1
40, 6, Tech, TECH_SAILING, 0.0, OWNED, -1
40, 6, Tech, TECH_ASTROLOGY, 0.0, OWNED, -1
40, 6, Tech, TECH_IRRIGATION, 0.0, OWNED, -1
40, 6, Tech, TECH_ARCHERY, 0.0, OWNED, -1
40, 6, Tech, TECH_WRITING, 0.0, OWNED, -1
40, 6, Tech, TECH_MASONRY, 0.0, OWNED, -1
40, 6, Tech, TECH_BRONZE_WORKING, 0.0, OWNED, -1
40, 6, Tech, TECH_THE_WHEEL, 0.0, OWNED, -1
40, 6, Tech, TECH_CELESTIAL_NAVIGATION, 0.0, OWNED, -1
40, 6, Tech, TECH_CURRENCY, 0.0, OWNED, -1
40, 6, Tech, TECH_HORSEBACK_RIDING, 234.9, BOOSTED, 1
40, 6, Tech, TECH_IRON_WORKING, 0.0, OWNED, -1
40, 6, Tech, TECH_SHIPBUILDING, 348.6, BOOSTED, 1
40, 6, Tech, TECH_MATHEMATICS, 231.3, BOOSTED, 1
40, 6, Tech, TECH_CONSTRUCTION, 281.7, BOOSTED, 2
40, 6, Tech, TECH_ENGINEERING, 0.0, OWNED, -1
40, 6, Tech, TECH_MILITARY_TACTICS, 1570.2, BOOSTED, 2
40, 6, Tech, TECH_APPRENTICESHIP, 1275.5, BOOSTED, 2
40, 6, Tech, TECH_MACHINERY, 0.0, OWNED, -1
40, 6, Tech, TECH_EDUCATION, 712.8, BOOSTED, 4
40, 6, Tech, TECH_STIRRUPS, 1125.1, BOOSTED, 4
40, 6, Tech, TECH_MILITARY_ENGINEERING, 625.8, BOOSTED, 3
40, 6, Tech, TECH_CASTLES, 946.6, BOOSTED, 3
40, 6, Tech, TECH_CARTOGRAPHY, 1471.8, , 5
40, 6, Tech, TECH_PRINTING, 115.8, , 2
40, 6, Tech, TECH_BUTTRESS, 872.6, GOAL, 3
40, 6, Tech Contract 110, TECH_HORSEBACK_RIDING, 69.0
40, 6, Tech Contract 562, TECH_ECONOMICS, 637.0
40, 6, Tech Contract 654, TECH_ANIMAL_HUSBANDRY, 1046.0
40, 6, Tech Contract 673, TECH_APPRENTICESHIP, 907.0
40, 6, Tech Contract 737, TECH_CASTLES, 546.0
40, 7, Tech, TECH_POTTERY, 0.0, OWNED, -1
40, 7, Tech, TECH_ANIMAL_HUSBANDRY, 0.0, OWNED, -1
40, 7, Tech, TECH_MINING, 0.0, OWNED, -1
40, 7, Tech, TECH_SAILING, 0.0, OWNED, -1
40, 7, Tech, TECH_ASTROLOGY, 0.0, OWNED, -1
40, 7, Tech, TECH_IRRIGATION, 0.0, OWNED, -1
40, 7, Tech, TECH_ARCHERY, 0.0, OWNED, -1
40, 7, Tech, TECH_WRITING, 0.0, OWNED, -1
40, 7, Tech, TECH_MASONRY, 0.0, OWNED, -1
40, 7, Tech, TECH_BRONZE_WORKING, 0.0, OWNED, -1
40, 7, Tech, TECH_THE_WHEEL, 0.0, OWNED, -1
40, 7, Tech, TECH_CELESTIAL_NAVIGATION, 0.0, OWNED, -1
40, 7, Tech, TECH_CURRENCY, 0.0, OWNED, -1
40, 7, Tech, TECH_HORSEBACK_RIDING, 0.0, OWNED, -1
40, 7, Tech, TECH_IRON_WORKING, 0.0, OWNED, -1
40, 7, Tech, TECH_SHIPBUILDING, 0.0, OWNED, -1
40, 7, Tech, TECH_MATHEMATICS, 231.3, RESEARCHING, 1
40, 7, Tech, TECH_CONSTRUCTION, 120.7, BOOSTED, 1
40, 7, Tech, TECH_ENGINEERING, 0.0, OWNED, -1
40, 7, Tech, TECH_MILITARY_TACTICS, 1527.1, BOOSTED, 4
40, 7, Tech, TECH_APPRENTICESHIP, 0.0, OWNED, -1
40, 7, Tech, TECH_MACHINERY, 0.0, OWNED, -1
40, 7, Tech, TECH_EDUCATION, 344.3, BOOSTED, 4
40, 7, Tech, TECH_STIRRUPS, 868.7, BOOSTED, 3
40, 7, Tech, TECH_MILITARY_ENGINEERING, 475.1, BOOSTED, 4
40, 7, Tech, TECH_CASTLES, 645.5, , 7
40, 7, Tech, TECH_CARTOGRAPHY, 581.8, , 12
40, 7, Tech, TECH_MASS_PRODUCTION, 1973.4, GOAL, 18
40, 7, Tech, TECH_BANKING, 1291.4, BOOSTED, 12
