Game Turn, Player, System, Tree, Node, Result, Data
PlotResourceTypeRequirement: Could not find definition for resource RESOURCE_GYPSUM,
        RESOURCE_MARBLE,
PlotResourceTypeRequirement: Could not find definition for resource RESOURCE_COCOA,
        RESOURCE_SALT,
        RESOURCE_SUGAR,
        RESOURCE_HONEY, RESOURCE_P0K_MAPLE
PlotResourceTypeRequirement: Could not find definition for resource RESOURCE_FURS,
        RESOURCE_OLIVES
PlotResourceTypeRequirement: Could not find definition for resource RESOURCE_COFFEE,
        RESOURCE_SILK,
        RESOURCE_SPICES,
        RESOURCE_WINE, RESOURCE_P0K_PLUMS
PlotResourceTypeRequirement: Could not find definition for resource RESOURCE_DYES,
        RESOURCE_INCENSE,
        RESOURCE_AMBER,
        RESOURCE_PEARLS, RESOURCE_CVS_POMEGRANATES
PlotResourceTypeRequirement: Could not find definition for resource RESOURCE_DIAMONDS,
        RESOURCE_JADE,
        RESOURCE_SILVER,
        RESOURCE_TRUFFLES, RESOURCE_P0K_OPAL
PlotResourceTypeRequirement: Could not find definition for resource RESOURCE_CITRUS,
        RESOURCE_COTTON,
        RESOURCE_TOBACCO,
        RESOURCE_IVORY,
        RESOURCE_WHALES
PlotResourceTypeRequirement: Could not find definition for resource RESOURCE_MERCURY,
        RESOURCE_TEA,
        RESOURCE_TURTLES, RESOURCE_P0K_PENGUINS, RESOURCE_P0K_PAPYRUS
40, 5, Operation, Settle City Op, RUNNING, Concurrent, 
40, 5, Operation, Settle City Op, SUCCESS, Decode Trigger, Value: 726
40, 5, Operation, Settle City Op, SUCCESS, Operation Defend Units, 
40, 5, Operation, Settle City Op, RUNNING, Sequence, 
40, 5, Operation, Settle City Op, READY, Operation Change Target, OK
40, 5, Operation, Settle City Op, RUNNING, Concurrent, 
40, 5, Operation, Settle City Op, RUNNING, Priority, 
40, 5, Operation, Settle City Op, FAILURE, Find Available Unit, Seeking: UNIT_SETTLER
40, 5, Operation, Settle City Op, RUNNING, Concurrent, 
40, 5, Operation, Settle City Op, RUNNING, Contract Manager Decorator, Contract 758: running,
40, 5, Operation, Settle City Op, READY, Build Unit, UNIT_SETTLER: Building at 726.0
40, 5, Operation, Settle City Op, SUCCESS, Contract Manager Decorator, Contract 758: running,
40, 5, Operation, Settle City Op, SUCCESS, Concurrent, 
40, 5, Operation, Settle City Op, FAILURE, Recruit Units, Recruited: 1; Recruiting: NONE Total: 1. Ready: NO
40, 5, Operation, Settle City Op, SUCCESS, Operation Move, Finished moving to rally position 35: 74
40, 5, Operation, Settle City Op, READY, Lock Units, Units Locked
40, 5, Operation, Settle City Op, READY, Concurrent, 
40, 5, Operation, Settle City Op, READY, Recruit Units, Recruited: 0; Recruiting: UNIT_SETTLER Total: 0. Ready: NO
40, 5, Operation, Settle City Op, READY, Make Formation, 
40, 5, Operation, Settle City Op, READY, Operation Attack Units, 
40, 5, Operation, Settle City Op, READY, Operation Move, Inactive
40, 5, Operation, Settle City Op, READY, Concurrent, 
40, 5, Operation, Settle City Op, READY, Operation Change Target, OK
40, 5, Operation, Settle City Op, READY, Recruit Units, Recruited: 0; Recruiting: UNIT_SETTLER Total: 0. Ready: NO
40, 5, Operation, Settle City Op, READY, Operation Attack Units, 
40, 5, Operation, Settle City Op, READY, Operation Naval Escort, 0 unescorted formations, 0 escorts recruited
40, 5, Operation, Settle City Op, READY, Operation Move, Inactive
40, 5, Operation, Settle City Op, READY, Settle, Settling unit to make new city
40, 5, AI_EVENT_GAIN_TECH, Upgrade Units, RUNNING, Concurrent, 
40, 5, AI_EVENT_GAIN_TECH, Upgrade Units, SUCCESS, Find Available Unit, 
40, 5, AI_EVENT_GAIN_TECH, Upgrade Units, SUCCESS, Find Unit Targets, 
40, 5, AI_EVENT_GAIN_TECH, Upgrade Units, SUCCESS, Upgrade Units, 
40, 5, AI_EVENT_GAIN_TECH, Upgrade Units, RUNNING, Move Unit, 
40, 5, City LOC_CITY_NAME_PELLA, Simple City Tree, SUCCESS, Concurrent, 
