Game Turn, Player, System, Tree, Node, Result, Data
40, 5, City LOC_CITY_NAME_PELLA, Simple City Tree, SUCCESS, City Attack, No enemy units in range
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Simple City Tree, SUCCESS, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Simple City Tree, SUCCESS, City Attack, No enemy units in range
40, 5, City LOC_CITY_NAME_FEZ, Build City District, RUNNING, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Decode Trigger, District: DISTRICT_HOLY_SITE; Value: 840
40, 5, City LOC_CITY_NAME_FEZ, Build City District, RUNNING, Concurrent, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, RUNNING, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, RUNNING, Contract Manager Decorator, Contract 624: waiting 7 of 10 turns,
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Purchase Plot, Purchase 16 68: Accepted on #624
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Reserve Plot, Reserving plot 16 68
40, 5, City LOC_CITY_NAME_FEZ, Build City District, SUCCESS, Contract Manager Decorator, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, SUCCESS, Add Goal Tech, No tech submitted/No civic submitted
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Priority, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Check Plot, Plot 16 68: FEATURE_FLOODPLAINS
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Contract Manager Decorator, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Add Goal Tech, No tech submitted/No civic submitted
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Priority, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Find Available Unit, Not seeking units
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Protect Unit, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Clear Plot, Clearing with 0
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Reserve Plot, Reserving plot -9999 -9999
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Has Player Ability, --, Wonders, Failed
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Priority, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Find Available Unit, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_FEZ, Build City District, READY, Build Production, Using builder charge at 16 68
40, 5, City LOC_CITY_NAME_FEZ, Build City Building, RUNNING, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Building, READY, Decode Trigger, Building: BUILDING_WALLS; Value: 181
40, 5, City LOC_CITY_NAME_FEZ, Build City Building, READY, Contract Manager Decorator, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Building, READY, Add Goal Tech, No tech submitted/No civic submitted
40, 5, City LOC_CITY_NAME_FEZ, Build City Building, RUNNING, Contract Manager Decorator, Contract 719: waiting 3 of 5 turns,
40, 5, City LOC_CITY_NAME_FEZ, Build City Building, READY, Build Unit, BUILDING_WALLS: Accepted at 181.0
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, SUCCESS, Decode Trigger, Improve: IMPROVEMENT_VAMPIRE_CASTLE; Value: 2858
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, FAILURE, Concurrent, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, SUCCESS, Reserve Plot, Reserving plot 34 72
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, FAILURE, Priority, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, FAILURE, Check Plot, Plot 34 72: Clear
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, SUCCESS, Priority, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, SUCCESS, Find Available Unit, Not seeking units
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, SUCCESS, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, FAILURE, Concurrent, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, FAILURE, Protect Unit, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Clear Plot, Clearing with 0
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Sequence, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Priority, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Find Available Unit, Not seeking units
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Protect Unit, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_BUENOS_AIRES, Build City Improvement, READY, Build Improvement, Building Improvement: IMPROVEMENT_BARBARIAN_CAMP
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Building, RUNNING, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Building, READY, Decode Trigger, Building: BUILDING_TEMPLE; Value: 1716
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Building, RUNNING, Contract Manager Decorator, Contract 735: waiting 2 of 5 turns,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Building, READY, Add Goal Tech, CIVIC_THEOLOGY: Accepted
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Building, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Building, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Decode Trigger, District: DISTRICT_ENCAMPMENT; Value: 766
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Purchase Plot, Not Buying anything
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Reserve Plot, Reserving plot 23 65
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Contract Manager Decorator, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Add Goal Tech, No tech submitted/No civic submitted
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Priority, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Check Plot, Plot 23 65: FEATURE_JUNGLE
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Contract Manager Decorator, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Add Goal Tech, No tech submitted/No civic submitted
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Priority, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Find Available Unit, Seeking: UNIT_BUILDER
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Protect Unit, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Clear Plot, Clearing with 0
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Reserve Plot, Reserving plot -9999 -9999
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, FAILURE, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, FAILURE, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, FAILURE, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Has Player Ability, --, Wonders, Failed
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Priority, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Find Available Unit, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City District, READY, Build Production, Using builder charge at 23 65
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Simple City Tree, SUCCESS, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Simple City Tree, SUCCESS, City Attack, No enemy units in range
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, SUCCESS, Decode Trigger, Improve: IMPROVEMENT_VAMPIRE_CASTLE; Value: 2879
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, FAILURE, Concurrent, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, SUCCESS, Reserve Plot, Reserving plot 28 68
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, FAILURE, Priority, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, FAILURE, Check Plot, Plot 28 68: Clear
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, SUCCESS, Priority, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, SUCCESS, Find Available Unit, Not seeking units
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, SUCCESS, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, FAILURE, Concurrent, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, FAILURE, Protect Unit, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Clear Plot, Clearing with 0
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Sequence, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Priority, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Find Available Unit, Not seeking units
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Protect Unit, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_METHONE, Build City Improvement, READY, Build Improvement, Building Improvement: IMPROVEMENT_BARBARIAN_CAMP
40, 5, City LOC_CITY_NAME_CHALKIDIKI, Build City Building, RUNNING, Sequence, 
40, 5, City LOC_CITY_NAME_CHALKIDIKI, Build City Building, READY, Decode Trigger, Building: BUILDING_TEMPLE; Value: 1441
40, 5, City LOC_CITY_NAME_CHALKIDIKI, Build City Building, RUNNING, Contract Manager Decorator, Contract 699: waiting 4 of 5 turns,
40, 5, City LOC_CITY_NAME_CHALKIDIKI, Build City Building, READY, Add Goal Tech, CIVIC_THEOLOGY: Accepted
40, 5, City LOC_CITY_NAME_CHALKIDIKI, Build City Building, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_CHALKIDIKI, Build City Building, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_CHALKIDIKI, Simple City Tree, SUCCESS, Concurrent, 
40, 5, City LOC_CITY_NAME_CHALKIDIKI, Simple City Tree, SUCCESS, City Attack, No enemy units in range
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, SUCCESS, Decode Trigger, Improve: IMPROVEMENT_VAMPIRE_CASTLE; Value: 2795
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, FAILURE, Concurrent, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, SUCCESS, Reserve Plot, Reserving plot 16 70
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, FAILURE, Priority, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, FAILURE, Check Plot, Plot 16 70: Clear
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, SUCCESS, Priority, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, SUCCESS, Find Available Unit, Not seeking units
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, SUCCESS, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, FAILURE, Concurrent, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, FAILURE, Protect Unit, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Clear Plot, Clearing with 0
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Sequence, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Priority, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Find Available Unit, Not seeking units
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Protect Unit, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_FEZ, Build City Improvement, READY, Build Improvement, Building Improvement: IMPROVEMENT_BARBARIAN_CAMP
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, RUNNING, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Decode Trigger, District: DISTRICT_HOLY_SITE; Value: 1253
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Purchase Plot, Not Buying anything
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Reserve Plot, Reserving plot 24 74
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Contract Manager Decorator, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Add Goal Tech, No tech submitted/No civic submitted
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, RUNNING, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, RUNNING, Priority, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, FAILURE, Check Plot, Plot 24 74: Clear
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, RUNNING, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, RUNNING, Contract Manager Decorator, Contract 626: waiting 7 of 10 turns,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Add Goal Tech, TECH_ECONOMICS: Accepted/No civic submitted
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Priority, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Find Available Unit, Seeking: UNIT_BUILDER
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Protect Unit, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Clear Plot, Clearing with 0
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Reserve Plot, Reserving plot -9999 -9999
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Has Player Ability, --, Wonders, Failed
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Priority, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Find Available Unit, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Move Unit, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_TROAS, Build City District, READY, Build Production, Using builder charge at 24 74
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, SUCCESS, Decode Trigger, Improve: IMPROVEMENT_VAMPIRE_CASTLE; Value: 3085
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, FAILURE, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, SUCCESS, Reserve Plot, Reserving plot 21 61
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, FAILURE, Priority, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, FAILURE, Check Plot, Plot 21 61: Clear
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, FAILURE, Sequence, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, SUCCESS, Priority, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, SUCCESS, Find Available Unit, Not seeking units
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, READY, Contract Manager Decorator, No contract,
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, READY, Build Unit, Not Building
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, SUCCESS, Cancel Contract, No contract
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, FAILURE, Concurrent, 
40, 5, City LOC_CITY_NAME_ALEXANDRIA_LATMUS, Build City Improvement, FAILURE, Protect Unit, 
