Game Turn, Event, Attacker, Unit, Defender, Unit, Mayhem, Current Total
43, Combat, 8, UNIT_SWORDSMAN, 16, UNIT_CATAPULT, 1.0, 2156.0
43, Combat, 8, UNIT_SWORDSMAN, 16, UNIT_CATAPULT, 1.0, 2157.0
43, Death, 8, UNIT_SWORDSMAN, 16, UNIT_CATAPULT, 1.0, 2158.0
43, Combat, 14, UNIT_CATAPULT, 7, UNIT_SWORDSMAN, 1.0, 2159.0
43, Combat, 16, UNIT_CROSSBOWMAN, 8, UNIT_SWORDSMAN, 1.0, 2160.0
43, Combat, 16, UNIT_CROSSBOWMAN, 8, UNIT_SWORDSMAN, 1.0, 2161.0
43, Combat, 16, UNIT_SWORDSMAN, 8, UNIT_SWORDSMAN, 1.0, 2162.0
43, Death, 16, UNIT_SWORDSMAN, 8, UNIT_SWORDSMAN, 1.0, 2163.0
43, Combat, 16, UNIT_SWORDSMAN, 8, UNIT_HORSEMAN, 1.0, 2164.0
43, Death, 8, UNIT_HORSEMAN, 16, UNIT_SWORDSMAN, 1.0, 2165.0
43, Declare war, 14, , 5, , 2.0, 2167.0
43, Declare war, 14, , 6, , 2.0, 2169.0
43, Declare war, 14, , 7, , 2.0, 2171.0
43, Declare war, 14, , 8, , 2.0, 2173.0
43, Declare war, 14, , 9, , 2.0, 2175.0
43, Declare war, 14, , 5, , 2.0, 2177.0
43, Declare war, 14, , 6, , 2.0, 2179.0
43, Declare war, 14, , 7, , 2.0, 2181.0
43, Declare war, 14, , 8, , 2.0, 2183.0
43, Declare war, 14, , 9, , 2.0, 2185.0
43, Declare war, 14, , 5, , 2.0, 2187.0
43, Declare war, 14, , 6, , 2.0, 2189.0
43, Declare war, 14, , 7, , 2.0, 2191.0
43, Declare war, 14, , 8, , 2.0, 2193.0
43, Declare war, 14, , 9, , 2.0, 2195.0
43, Declare war, 14, , 5, , 2.0, 2197.0
43, Declare war, 14, , 6, , 2.0, 2199.0
43, Declare war, 14, , 7, , 2.0, 2201.0
