Game Turn, Player, Belief, Score
40, 6, BELIEF_CITY_PATRON_GODDESS, 0.0
40, 6, BELIEF_EARTH_GODDESS, 22.0
40, 6, BELIEF_DIVINE_INSPIRATION, -1.0
40, 6, BELIEF_FEED_THE_WORLD, -1.0
40, 6, BELIEF_JESUIT_EDUCATION, -1.0
40, 6, BELIEF_RELIQUARIES, -1.0
40, 6, BELIEF_RELIGIOUS_COMMUNITY, -1.0
40, 6, BELIEF_WORK_ETHIC, -1.0
40, 6, BELIEF_ZEN_MEDITATION, -1.0
40, 6, BELIEF_CHORAL_MUSIC, -1.0
40, 6, BELIEF_WARRIOR_MONKS, -1.0
40, 6, BELIEF_CATHEDRAL, -1.0
40, 6, BELIEF_GURDWARA, -1.0
40, 6, BELIEF_MEETING_HOUSE, -1.0
40, 6, BELIEF_MOSQUE, -1.0
40, 6, BELIEF_PAGODA, -1.0
40, 6, BELIEF_SYNAGOGUE, -1.0
40, 6, BELIEF_WAT, -1.0
40, 6, BELIEF_STUPA, -1.0
40, 6, BELIEF_DAR_E_MEHR, -1.0
40, 6, BELIEF_LAY_MINISTRY, 0.0
40, 6, BELIEF_PAPAL_PRIMACY, 0.0
40, 6, BELIEF_PILGRIMAGE, 0.0
40, 6, BELIEF_STEWARDSHIP, -1.0
40, 6, BELIEF_TITHE, 0.0
40, 6, BELIEF_WORLD_CHURCH, 0.0
40, 6, BELIEF_CROSS_CULTURAL_DIALOGUE, 0.0
40, 6, BELIEF_RELIGIOUS_UNITY, 0.0
40, 6, BELIEF_DEFENDER_OF_FAITH, -1.0
40, 6, BELIEF_HOLY_ORDER, -1.0
40, 6, BELIEF_ITINERANT_PREACHERS, -1.0
40, 6, BELIEF_JUST_WAR, -1.0
40, 6, BELIEF_MISSIONARY_ZEAL, -1.0
40, 6, BELIEF_MONASTIC_ISOLATION, -1.0
40, 6, BELIEF_SCRIPTURE, -1.0
40, 6, BELIEF_RELIGIOUS_COLONIZATION, -1.0
40, 6, BELIEF_GODDESS_OF_FIRE, 0.0
40, 6, BELIEF_SACRED_PLACES, 0.0
40, 6, BELIEF_HOLY_WATERS, -1.0
40, 6, BELIEF_ZYL_LBM_MOON_GODDESS, 0.0
40, 6, BELIEF_ZYL_LBM_COMMERCE_GODDESS, 1.0
40, 6, BELIEF_ZYL_LBM_SUN_GOD, 0.0
40, 6, BELIEF_ZYL_LBM_ORAL_TRADITION, 0.0
40, 6, BELIEF_ZYL_LBM_EARTH_SPIRITS, 69.0
40, 6, BELIEF_ZYL_LBM_GARDEN_GODDESS, 0.0
40, 6, BELIEF_ZYL_LBM_WEALTH_GODDESS, 33.0
40, 6, BELIEF_ZYL_LBM_TRADE_GOD, 1.0
40, 6, BELIEF_ZYL_LBM_PATH_OF_CONQUEST, -1.0
40, 6, BELIEF_ZYL_LBM_SACRED_INSCRIPTIONS, -1.0
40, 6, BELIEF_ZYL_LBM_GRANARY_GOD, 71.0
40, 6, BELIEF_ZYL_LBM_REEF_PARADISE, 0.0
40, 6, BELIEF_ZYL_LBM_SIREN, 0.0
40, 6, BELIEF_ZYL_DRUID, -1.0
40, 7, BELIEF_DANCE_OF_THE_AURORA, 0.0
40, 7, BELIEF_DESERT_FOLKLORE, -1.0
40, 7, BELIEF_SACRED_PATH, -1.0
40, 7, BELIEF_RIVER_GODDESS, 0.0
40, 7, BELIEF_MONUMENT_TO_THE_GODS, 0.0
40, 7, BELIEF_DIVINE_SPARK, 10.0
40, 7, BELIEF_LADY_OF_THE_REEDS_AND_MARSHES, 0.0
