Game Turn, Player, Category, Target Type, Target Info, Unit Info, Extra
4, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 54 27
4, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 47 35
4, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 45 34
4, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 16 14
4, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 15 16
4, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 12 58
4, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 10 57
5, 5, Support Formation, , , UNIT_WARRIOR (131073), 60 48
5, 5, Support Formation, , , UNIT_CREE_OKIHTCITAW (262147), 60 48
5, 5, HL: Build Improvement, , , UNIT_BUILDER, Move -9999 -9999
5, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 57 38
5, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 57 37
5, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 65 4
5, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 3
5, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 56 61
5, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 57 65
5, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 71 15
5, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 70 13
5, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 23 25
5, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 26 24
5, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 41 49
5, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 40 53
5, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 55 28
5, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 54 28
5, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 47 34
5, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 43 35
5, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 15 14
5, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 14 15
5, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 12 56
5, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 9 57
6, 4, HL: End Turn, , , UNIT_BUILDER (524290)
6, 4, HL: End Turn, , , UNIT_SCOUT (458757)
6, 5, Promote, , , UNIT_CREE_OKIHTCITAW (589831), 
6, 5, Wander, , , UNIT_VAMPIRE (393220), Move To: 61 48
6, 5, HL: Build Improvement, , , UNIT_BUILDER, Move -9999 -9999
6, 5, HL: End Turn, , , UNIT_BUILDER (458757)
6, 6, Wander, , , UNIT_WARRIOR (458757), Move To: 63 33
6, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 57 39
6, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 55 37
6, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 65 5
6, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 1
6, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 55 63
6, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 56 66
6, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 71 16
6, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 69 11
6, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 22 24
6, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 25 23
6, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 41 50
6, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 41 52
6, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 56 26
6, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 55 27
6, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 46 34
6, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 42 34
6, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 14 14
6, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 15 16
6, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 12 58
6, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 10 59
7, 4, HL: End Turn, , , UNIT_SCOUT (458757)
7, 5, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_CREE_OKIHTCITAW (262147), Available Units: 1
7, 5, Wander, , , UNIT_VAMPIRE (393220), Move To: 59 48
7, 5, HL: Build Improvement, , , UNIT_BUILDER, Move -9999 -9999
7, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 57 38
7, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 55 35
7, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 64 5
7, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 2
7, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 57 63
7, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 54 65
7, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 72 16
7, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 69 12
7, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 21 23
7, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 24 23
7, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 41 51
7, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 40 51
7, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 56 27
7, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 54 28
7, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 46 35
7, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 42 35
7, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 14 13
7, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 14 16
7, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 13 56
7, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 11 59
7, 17, HL: End Turn, , , UNIT_BUILDER (262144)
8, 4, Wander, , , UNIT_AZTEC_EAGLE_WARRIOR (589830), Move To: 48 62
8, 4, HL: Explore, , , UNIT_SCOUT (458757), Move To: 49 66
8, 4, HL: End Turn, , , UNIT_SCOUT (458757)
8, 5, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_CREE_OKIHTCITAW (262147), Available Units: 1
8, 5, Wander, , , UNIT_VAMPIRE (393220), Move To: 58 48
8, 6, Wander, , , UNIT_WARRIOR (458757), Move To: 65 33
8, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 57 37
8, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 55 36
8, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 64 3
8, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 1
8, 9, HL: End Turn, , , UNIT_BUILDER (262144)
8, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 57 61
8, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 53 65
8, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 71 15
8, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 69 11
8, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 22 25
8, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 26 24
8, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 41 50
8, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 41 51
8, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 54 27
8, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 55 27
8, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 47 35
8, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 44 34
8, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 15 14
8, 16, Wander, , , UNIT_WARRIOR (196610), Move To: 13 17
8, 17, Wander, , , UNIT_WARRIOR (131073), Move To: 12 57
8, 17, Wander, , , UNIT_WARRIOR (196610), Move To: 10 58
8, 17, HL: End Turn, , , UNIT_BUILDER (262144)
9, 4, Wander, , , UNIT_AZTEC_EAGLE_WARRIOR (589830), Move To: 48 63
9, 4, HL: Explore, , , UNIT_SCOUT (458757), Move To: 50 68
9, 4, HL: Explore, , , UNIT_SCOUT (720904), Move To: 43 63
9, 4, HL: Explore, , , UNIT_SCOUT (458757), Move To: 49 69
9, 4, HL: End Turn, , , UNIT_SCOUT (458757)
9, 4, HL: End Turn, , , UNIT_SCOUT (720904)
9, 5, Get Goody Hut, TARGET_GOODY_HUT, Goody Hut, UNIT_CREE_OKIHTCITAW (589831), Available Units: 1
9, 5, Wander, , , UNIT_VAMPIRE (393220), Move To: 58 49
9, 6, HL: Explore, , , UNIT_SCOUT (393220), Move To: 63 40
9, 6, HL: End Turn, , , UNIT_SCOUT (393220)
9, 8, Wander, , , UNIT_WARRIOR (131073), Move To: 58 38
9, 8, Wander, , , UNIT_WARRIOR (196610), Move To: 56 35
9, 9, Wander, , , UNIT_WARRIOR (131073), Move To: 64 4
9, 9, Wander, , , UNIT_WARRIOR (196610), Move To: 64 2
9, 9, HL: End Turn, , , UNIT_BUILDER (262144)
9, 10, Wander, , , UNIT_WARRIOR (131073), Move To: 56 62
9, 10, Wander, , , UNIT_WARRIOR (196610), Move To: 54 66
9, 11, Wander, , , UNIT_WARRIOR (131073), Move To: 71 16
9, 11, Wander, , , UNIT_WARRIOR (196610), Move To: 70 11
9, 12, Wander, , , UNIT_WARRIOR (131073), Move To: 21 25
9, 12, Wander, , , UNIT_WARRIOR (196610), Move To: 26 23
9, 13, Wander, , , UNIT_WARRIOR (131073), Move To: 41 52
9, 13, Wander, , , UNIT_WARRIOR (196610), Move To: 40 50
9, 14, Wander, , , UNIT_WARRIOR (131073), Move To: 55 25
9, 14, Wander, , , UNIT_WARRIOR (196610), Move To: 57 26
9, 15, Wander, , , UNIT_WARRIOR (131073), Move To: 48 34
9, 15, Wander, , , UNIT_WARRIOR (196610), Move To: 44 33
9, 16, Wander, , , UNIT_WARRIOR (131073), Move To: 15 12
