Game Turn, Player, Boosted System, Progress
7, 16, TECH_ASTROLOGY, Unstarted
7, 3, CIVIC_MYSTICISM, Unstarted
7, 0, CIVIC_CRAFTSMANSHIP, Unstarted
7, 2, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
7, 0, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
7, 1, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
7, 3, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
7, 4, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
8, 8, CIVIC_CRAFTSMANSHIP, Unstarted
8, 18, CIVIC_CRAFTSMANSHIP, Unstarted
8, 18, TECH_HORSEBACK_RIDING, Unstarted
8, 4, CIVIC_CRAFTSMANSHIP, Unstarted
8, 4, TECH_HORSEBACK_RIDING, Unstarted
9, 8, CIVIC_MYSTICISM, Unstarted
10, 16, CIVIC_CRAFTSMANSHIP, In Progress
10, 1, CIVIC_MYSTICISM, Unstarted
11, 5, CIVIC_EARLY_EMPIRE, Unstarted
11, 5, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
11, 6, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
11, 7, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
11, 8, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
11, 9, CIVIC_POLITICAL_PHILOSOPHY, Unstarted
11, 11, TECH_IRRIGATION, Unstarted
11, 16, TECH_CELESTIAL_NAVIGATION, In Progress
11, 0, TECH_IRON_WORKING, Unstarted
11, 2, CIVIC_MYSTICISM, Unstarted
