Game Turn, Player, Opponent, Modifier, Change, Value, Max, Accum Amt, Accum Turns, Cooldown Turns, Reduction
1, 7, 4, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 7, 5, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 7, 6, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 0, 1, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 0, 2, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 0, 3, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 1, 0, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 1, 2, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 1, 3, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 2, 0, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 2, 1, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 2, 3, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 3, 0, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 3, 1, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
1, 3, 2, 已与一位朋友宣布友好, Activate,    8.0,    8.0,    0.0, 0, 0,    1.0
3, 3, 1, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
5, 1, 3, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
5, 0, 1, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
5, 0, 3, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
5, 1, 0, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
5, 3, 0, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
6, 4, 5, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
6, 5, 4, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
6, 4, 6, 我们向他们派遣了代表团, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
6, 5, 6, 我们向他们派遣了代表团, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
6, 7, 6, 我们向他们派遣了代表团, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
7, 4, 5, 我们向他们派遣了代表团, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
7, 6, 5, 我们向他们派遣了代表团, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
7, 7, 5, 我们向他们派遣了代表团, Activate,    3.0,    3.0,    1.0, 0, 0,   -1.0
7, 0, 2, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
7, 1, 2, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
7, 2, 0, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
7, 2, 1, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
7, 2, 3, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
7, 3, 2, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
8, 4, 6, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
8, 5, 6, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
8, 6, 5, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
8, 6, 4, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
9, 0, 4, 对您的第一印象, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
9, 0,  4, 对您的第一印象, Deactivate
9, 0, 4, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
9, 4, 0, 对您的第一印象, Activate,   -6.0,   -6.0,    1.0, 0, 10,    1.0
9, 4,  0, 对您的第一印象, Deactivate
9, 4, 0, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
9, 0, 5, 对您的第一印象, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
9, 0,  5, 对您的第一印象, Deactivate
9, 0, 5, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
9, 5, 0, 对您的第一印象, Activate,   -5.0,   -5.0,    1.0, 0, 10,    1.0
9, 5,  0, 对您的第一印象, Deactivate
9, 5, 0, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
9, 0, 6, 对您的第一印象, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
9, 0,  6, 对您的第一印象, Deactivate
9, 0, 6, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
9, 6, 0, 对您的第一印象, Activate,   -9.0,   -9.0,    1.0, 0, 10,    1.0
9, 6,  0, 对您的第一印象, Deactivate
9, 6, 0, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
9, 0, 7, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
9, 0,  7, 对您的第一印象, Deactivate
9, 7, 0, 对您的第一印象, Activate,   -8.0,   -8.0,    1.0, 0, 10,    1.0
9, 7,  0, 对您的第一印象, Deactivate
9, 1, 4, 对您的第一印象, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
9, 1,  4, 对您的第一印象, Deactivate
9, 1, 4, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
9, 4, 1, 对您的第一印象, Activate,   -5.0,   -5.0,    1.0, 0, 10,    1.0
9, 4,  1, 对您的第一印象, Deactivate
9, 4, 1, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
9, 2, 4, 对您的第一印象, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
9, 2,  4, 对您的第一印象, Deactivate
9, 2, 4, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
9, 4, 2, 对您的第一印象, Activate,   -5.0,   -5.0,    1.0, 0, 10,    1.0
9, 4,  2, 对您的第一印象, Deactivate
9, 4, 2, 相同秘密结社的成员, Activate,    8.0,    8.0,    1.0, 0, 0,   -1.0
9, 3, 4, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
9, 4, 3, 对您的第一印象, Activate,   -8.0,   -8.0,    1.0, 0, 10,    1.0
9, 4,  3, 对您的第一印象, Deactivate
9, 4, 3, 敌对秘密结社的成员, Activate,   -5.0,   -5.0,    1.0, 0, 0,    1.0
1, 0, 1, 对您的第一印象, Activate,    2.0,    2.0,    1.0, 0, 10,    1.0
1, 0,  1, 对您的第一印象, Deactivate
1, 0, 1, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 1, 0, 对您的第一印象, Activate,   -1.0,   -1.0,    1.0, 0, 10,    1.0
1, 1,  0, 对您的第一印象, Deactivate
1, 1, 0, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 0, 2, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 2, 0, 对您的第一印象, Activate,   -4.0,   -4.0,    1.0, 0, 10,    1.0
1, 2,  0, 对您的第一印象, Deactivate
1, 2, 0, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 0, 3, 对您的第一印象, Activate,   -3.0,   -3.0,    1.0, 0, 10,    1.0
1, 0,  3, 对您的第一印象, Deactivate
1, 0, 3, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 3, 0, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 3,  0, 对您的第一印象, Deactivate
1, 3, 0, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 0, 4, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 0,  4, 对您的第一印象, Deactivate
1, 0, 4, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 4, 0, 对您的第一印象, Activate,    1.0,    1.0,    1.0, 0, 10,    1.0
1, 4,  0, 对您的第一印象, Deactivate
1, 4, 0, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 1, 2, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 1,  2, 对您的第一印象, Deactivate
1, 1, 2, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
1, 2, 1, 对您的第一印象, Activate,   -2.0,   -2.0,    1.0, 0, 10,    1.0
1, 2,  1, 对您的第一印象, Deactivate
1, 2, 1, 宣布友好, Activate,    9.0,    9.0,    1.0, 0, 10,   -1.0
