Game Turn, Player, Regional Strength, Enemy Strength, Other Strength, Current Explorers, Desired Explorers, Fav Tech, Combat Desire
5, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
5, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
5, 0, 10, 0, 0, 2:0, 1:1, NO_TECH, 0.1
5, 1, 37, 0, 20, 2:0, 1:1, NO_TECH, 0.1
5, 2, 10, 0, 0, 2:0, 1:1, NO_TECH, 0.1
5, 3, 50, 0, 0, 3:0, 1:1, NO_TECH, 0.0
6, 4, 48, 0, 0, 4:0, 3:1, NO_TECH, 0.1
6, 5, 70, 0, 30, 4:0, 3:1, NO_TECH, 0.0
6, 6, 60, 0, 0, 3:0, 3:1, NO_TECH, 0.1
6, 7, 20, 0, 0, 1:0, 3:1, NO_TECH, 0.3
6, 8, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 9, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 12, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
6, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
6, 0, 50, 0, 0, 3:0, 1:1, NO_TECH, 0.1
6, 1, 37, 0, 20, 2:0, 2:1, NO_TECH, 0.1
6, 2, 20, 0, 0, 3:0, 0:0, NO_TECH, 0.1
6, 3, 50, 0, 0, 3:0, 1:1, NO_TECH, 0.0
7, 4, 76, 0, 0, 4:0, 3:1, NO_TECH, 0.1
7, 5, 70, 0, 40, 3:0, 3:1, NO_TECH, 0.0
7, 6, 60, 0, 0, 3:0, 3:1, NO_TECH, 0.0
7, 7, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.1
7, 8, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 9, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 12, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 14, 40, 0, 10, 0:0, 0:0, NO_TECH, 0.0
7, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
7, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
7, 0, 50, 0, 0, 3:0, 1:1, NO_TECH, 0.0
7, 1, 37, 0, 20, 2:0, 2:1, NO_TECH, 0.0
7, 2, 20, 0, 0, 3:0, 1:1, NO_TECH, 0.1
7, 3, 50, 0, 0, 3:0, 2:1, NO_TECH, 0.0
8, 4, 76, 0, 0, 4:0, 3:1, NO_TECH, 0.2
8, 5, 70, 0, 60, 3:0, 3:1, NO_TECH, 0.1
8, 6, 60, 0, 40, 2:0, 3:1, NO_TECH, 0.0
8, 7, 20, 0, 0, 1:0, 3:1, NO_TECH, 0.6
8, 8, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 9, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 12, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 14, 40, 0, 10, 0:0, 0:0, NO_TECH, 0.0
8, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
8, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
8, 0, 50, 0, 0, 3:0, 1:1, NO_TECH, 0.0
8, 1, 17, 0, 20, 2:0, 2:1, NO_TECH, 0.0
8, 2, 10, 0, 0, 3:0, 1:1, NO_TECH, 0.1
8, 3, 60, 0, 20, 4:0, 3:1, NO_TECH, 0.0
9, 4, 76, 0, 0, 4:0, 3:1, NO_TECH, 0.1
9, 5, 70, 0, 60, 4:0, 3:1, NO_TECH, 0.1
9, 6, 30, 0, 40, 3:0, 3:1, NO_TECH, 0.1
9, 7, 30, 0, 10, 1:0, 3:1, NO_TECH, 0.1
9, 8, 40, 0, 20, 0:0, 0:0, NO_TECH, 0.0
9, 9, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
9, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
9, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
9, 12, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
9, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
9, 14, 40, 0, 10, 0:0, 0:0, NO_TECH, 0.0
9, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
9, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
9, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
9, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
9, 0, 50, 0, 0, 3:0, 3:1, NO_TECH, 0.0
9, 1, 17, 0, 20, 2:0, 3:1, NO_TECH, 0.0
9, 2, 10, 0, 0, 4:0, 1:1, NO_TECH, 0.1
9, 3, 60, 0, 20, 4:0, 3:1, NO_TECH, 0.0
1, 5, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 6, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 7, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 8, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 9, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 10, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 11, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 12, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 13, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 14, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 15, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 16, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 17, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 18, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 19, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 20, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 21, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
1, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
1, 0, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 1, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 2, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 3, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
1, 4, 0, 0, 0, 1:0, 3:1, NO_TECH, 0.0
2, 5, 40, 0, 0, 3:0, 1:1, NO_TECH, 0.0
2, 6, 40, 0, 0, 3:0, 1:1, NO_TECH, 0.0
2, 7, 40, 0, 30, 3:0, 1:1, NO_TECH, 0.0
2, 8, 40, 0, 20, 3:0, 1:1, NO_TECH, 0.0
2, 9, 40, 0, 0, 3:0, 1:1, NO_TECH, 0.0
2, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 12, 40, 0, 40, 0:0, 0:0, NO_TECH, 0.0
2, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 18, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 19, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 20, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 21, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
2, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
2, 0, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 1, 37, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 2, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
2, 3, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.1
2, 4, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.0
3, 5, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.0
3, 6, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.0
3, 7, 30, 0, 30, 1:0, 3:1, NO_TECH, 0.0
3, 8, 30, 0, 30, 1:0, 3:1, NO_TECH, 0.0
3, 9, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.0
3, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 12, 40, 0, 40, 0:0, 0:0, NO_TECH, 0.0
3, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 18, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 19, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 20, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 21, 0, 0, 0, 0:0, 0:0, NO_TECH, 0.0
3, 62, 0, 0, 0, 0:0, 0:0, NO_TECH, 2.0
3, 0, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.1
3, 1, 37, 0, 0, 2:0, 0:0, NO_TECH, 0.1
3, 2, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.1
3, 3, 30, 0, 0, 2:0, 0:0, NO_TECH, 0.1
3, 4, 50, 0, 0, 3:0, 0:0, NO_TECH, 0.1
4, 5, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.1
4, 6, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.1
4, 7, 30, 0, 30, 2:0, 3:1, NO_TECH, 0.1
4, 8, 30, 0, 30, 1:0, 3:1, NO_TECH, 0.1
4, 9, 30, 0, 0, 1:0, 3:1, NO_TECH, 0.1
4, 10, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 11, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 12, 40, 0, 40, 0:0, 0:0, NO_TECH, 0.0
4, 13, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 14, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 15, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 16, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 17, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
4, 18, 40, 0, 0, 0:0, 0:0, NO_TECH, 0.0
