Game Turn, Player, BY TYPE: Tiles, Buildings, Districts, Population, Outgoing Trade Routes, TOURISM, Diplo Victory, BALANCE: Favor, LIFETIME: Favor, CO2 Per Turn
4, CIVILIZATION_GENEVA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_CAGUANA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_LAHORE, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_CHINGUETTI, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_HATTUSA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_MEXICO_CITY, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_PERSIA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_BABYLON_STK, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_INDIA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_NUBIA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_AZTEC, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_CREE, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_MALI, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_MONGOLIA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_KABUL, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_NAN_MADOL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_SAMARKAND, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_GENEVA, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_CAGUANA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_LAHORE, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_CHINGUETTI, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_HATTUSA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_MEXICO_CITY, 7, 10, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_PERSIA, 8, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_BABYLON_STK, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_INDIA, 8, 10, 0, 1, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_NUBIA, 9, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_AZTEC, 15, 10, 0, 2, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_CREE, 15, 10, 0, 2, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_MALI, 8, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_MONGOLIA, 8, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_KABUL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_NAN_MADOL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_SAMARKAND, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_GENEVA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_CAGUANA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_LAHORE, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_CHINGUETTI, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_HATTUSA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_MEXICO_CITY, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_PERSIA, 8, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_BABYLON_STK, 8, 10, 0, 1, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_INDIA, 8, 10, 0, 2, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_NUBIA, 9, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_AZTEC, 16, 10, 0, 2, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_CREE, 15, 11, 0, 2, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_MALI, 8, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_MONGOLIA, 9, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_KABUL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_NAN_MADOL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_SAMARKAND, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_GENEVA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_CAGUANA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_LAHORE, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_CHINGUETTI, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_HATTUSA, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_MEXICO_CITY, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_PERSIA, 8, 10, 0, 1, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_BABYLON_STK, 8, 10, 0, 2, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_INDIA, 8, 10, 0, 2, 0, 0, 0, 0, 0, 0
7, CIVILIZATION_NUBIA, 9, 10, 0, 1, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_AZTEC, 16, 10, 0, 3, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_CREE, 16, 11, 0, 3, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_MALI, 8, 11, 0, 2, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_MONGOLIA, 9, 10, 0, 1, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_KABUL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_NAN_MADOL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_SAMARKAND, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_GENEVA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_CAGUANA, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_LAHORE, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_CHINGUETTI, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_HATTUSA, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_BUENOS_AIRES, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_MEXICO_CITY, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_PERSIA, 9, 10, 0, 2, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_BABYLON_STK, 8, 10, 0, 2, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_INDIA, 9, 10, 0, 3, 0, 0, 0, 0, 0, 0
8, CIVILIZATION_NUBIA, 9, 10, 0, 1, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_AZTEC, 16, 10, 0, 3, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_CREE, 17, 12, 0, 3, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_MALI, 9, 14, 0, 2, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_MONGOLIA, 9, 10, 0, 2, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_KABUL, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_NAN_MADOL, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_SAMARKAND, 7, 10, 0, 3, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_GENEVA, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_CAGUANA, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_LAHORE, 7, 10, 0, 1, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_CHINGUETTI, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
9, CIVILIZATION_HATTUSA, 7, 10, 0, 2, 0, 0, 0, 0, 0, 0
