Game Turn, City, Production Added, Current Item, Current Production, Production Needed, Overflow
2, LOC_CITY_NAME_TENOCHTITLAN, 10.8, UNIT_SCOUT, 10.8, 15, 0.0
2, LOC_CITY_NAME_MIKISIW_WACIHK, 11.9, BUILDING_MONUMENT, 11.9, 30, 0.0
2, LOC_CITY_NAME_NIANI, 10.8, UNIT_SCOUT, 10.8, 15, 0.0
2, LOC_CITY_NAME_XANADU, 9.5, UNIT_SCOUT, 9.5, 15, 0.0
2, LOC_CITY_NAME_KABUL, 3.0, BUILDING_MONUMENT, 3.0, 30, 0.0
2, LOC_CITY_NAME_NAN_MADOL, 6.0, UNIT_SLINGER, 6.0, 17, 0.0
2, LOC_CITY_NAME_SAMARKAND, 2.5, BUILDING_MONUMENT, 2.5, 30, 0.0
2, LOC_CITY_NAME_GENEVA, 3.5, BUILDING_MONUMENT, 3.5, 30, 0.0
2, LOC_CITY_NAME_CAGUANA, 2.5, BUILDING_MONUMENT, 2.5, 30, 0.0
2, LOC_CITY_NAME_LAHORE, 3.5, BUILDING_MONUMENT, 3.5, 30, 0.0
2, LOC_CITY_NAME_CHINGUETTI, 2.5, BUILDING_MONUMENT, 2.5, 30, 0.0
2, LOC_CITY_NAME_HATTUSA, 2.5, BUILDING_MONUMENT, 2.5, 30, 0.0
2, LOC_CITY_NAME_BUENOS_AIRES, 3.0, BUILDING_MONUMENT, 3.0, 30, 0.0
2, LOC_CITY_NAME_MEXICO_CITY, 3.0, BUILDING_MONUMENT, 3.0, 30, 0.0
2, LOC_CITY_NAME_PASARGADAE, 5.0, UNIT_SCOUT, 5.0, 15, 0.0
2, LOC_CITY_NAME_BABYLON_STK, 5.0, UNIT_BABYLONIAN_SABUM_KIBITTUM, 5.0, 17, 0.0
2, LOC_CITY_NAME_PATNA, 3.0, UNIT_SCOUT, 3.0, 15, 0.0
2, LOC_CITY_NAME_MEROE, 6.0, UNIT_SCOUT, 6.0, 15, 0.0
3, LOC_CITY_NAME_PASARGADAE, 5.0, UNIT_SCOUT, 10.0, 15, 0.0
3, LOC_CITY_NAME_BABYLON_STK, 5.0, UNIT_BABYLONIAN_SABUM_KIBITTUM, 10.0, 17, 0.0
3, LOC_CITY_NAME_PATNA, 3.0, UNIT_SCOUT, 6.0, 15, 0.0
3, LOC_CITY_NAME_MEROE, 6.0, UNIT_SCOUT, 12.0, 15, 0.0
4, LOC_CITY_NAME_TENOCHTITLAN, 27.2, UNIT_BUILDER, 27.2, 25, 0.0
4, LOC_CITY_NAME_MIKISIW_WACIHK, 23.8, UNIT_BUILDER, 23.8, 27, 0.0
4, LOC_CITY_NAME_NIANI, 27.2, UNIT_BUILDER, 27.2, 25, 0.0
4, LOC_CITY_NAME_XANADU, 23.8, UNIT_BUILDER, 23.8, 25, 0.0
4, LOC_CITY_NAME_KABUL, 18.0, UNIT_BUILDER, 18.0, 25, 0.0
4, LOC_CITY_NAME_NAN_MADOL, 12.0, UNIT_BUILDER, 12.0, 25, 0.0
4, LOC_CITY_NAME_SAMARKAND, 15.0, UNIT_BUILDER, 15.0, 25, 0.0
4, LOC_CITY_NAME_GENEVA, 21.0, UNIT_BUILDER, 21.0, 25, 0.0
4, LOC_CITY_NAME_CAGUANA, 15.0, UNIT_BUILDER, 15.0, 25, 0.0
4, LOC_CITY_NAME_LAHORE, 21.0, UNIT_BUILDER, 21.0, 25, 0.0
4, LOC_CITY_NAME_CHINGUETTI, 15.0, UNIT_BUILDER, 15.0, 25, 0.0
4, LOC_CITY_NAME_HATTUSA, 15.0, UNIT_BUILDER, 15.0, 25, 0.0
4, LOC_CITY_NAME_BUENOS_AIRES, 18.0, UNIT_BUILDER, 18.0, 25, 0.0
4, LOC_CITY_NAME_MEXICO_CITY, 18.0, UNIT_BUILDER, 18.0, 25, 0.0
4, LOC_CITY_NAME_PASARGADAE, 8.0, UNIT_SCOUT, 18.0, 15, 3.0
4, LOC_CITY_NAME_BABYLON_STK, 8.0, UNIT_BABYLONIAN_SABUM_KIBITTUM, 18.0, 17, 1.0
4, LOC_CITY_NAME_PATNA, 5.0, UNIT_SCOUT, 11.0, 15, 0.0
4, LOC_CITY_NAME_MEROE, 6.0, UNIT_SCOUT, 18.0, 15, 3.0
5, LOC_CITY_NAME_TENOCHTITLAN, 15.3, UNIT_BUILDER, 15.3, 27, 0.0
