Game Turn, Player, Strategy, Status
1, 17, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 17, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 17, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 17, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 17, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 17, STRATEGY_RAPID_EXPANSION, Forbidden
1, 17, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 17, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 17, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 17, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 17, STRATEGY_MODERN_CHANGES, Forbidden
1, 17, STRATEGY_DARKAGE, Forbidden
1, 17, VICTORY_STRATEGY_DIPLOMATIC_VICTORY, Forbidden
1, 17, STRATEGY_ANCIENT_CHANGES, Forbidden
1, 62, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 62, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 62, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 62, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 62, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 62, STRATEGY_RAPID_EXPANSION, Forbidden
1, 62, STRATEGY_CLASSICAL_CHANGES, Forbidden
1, 62, STRATEGY_MEDIEVAL_CHANGES, Forbidden
1, 62, STRATEGY_RENAISSANCE_CHANGES, Forbidden
1, 62, STRATEGY_INDUSTRIAL_CHANGES, Forbidden
1, 62, STRATEGY_MODERN_CHANGES, Forbidden
1, 62, STRATEGY_DARKAGE, Forbidden
1, 62, VICTORY_STRATEGY_DIPLOMATIC_VICTORY, Forbidden
1, 62, STRATEGY_ANCIENT_CHANGES, Forbidden
1, 63, VICTORY_STRATEGY_CULTURAL_VICTORY, Forbidden
1, 63, VICTORY_STRATEGY_MILITARY_VICTORY, Forbidden
1, 63, VICTORY_STRATEGY_RELIGIOUS_VICTORY, Forbidden
1, 63, VICTORY_STRATEGY_SCIENCE_VICTORY, Forbidden
1, 63, STRATEGY_EARLY_EXPLORATION, Forbidden
1, 63, STRATEGY_RAPID_EXPANSION, Forbidden
