Game Turn, Player, Unit, From X, From Y, To X, To Y, Info, Checksum
001, LOC_CIVILIZATION_BABYLON_STK_NAME, UNIT_WARRIOR (131073), 10, 41, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_BABYLON_STK_NAME, UNIT_SETTLER (65536), 11, 41, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_INDIA_NAME, UNIT_WARRIOR (131073), 10, 27, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_INDIA_NAME, UNIT_SETTLER (65536), 11, 27, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_NUBIA_NAME, UNIT_SETTLER (65536), 33, 12, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_NUBIA_NAME, UNIT_WARRIOR (131073), 32, 12, -9999, -9999, 2325, ffffffff
001, LOC_CIVILIZATION_NUBIA_NAME, UNIT_WARRIOR (131073), 32, 12, 32, 13, 16656, d3b2b12c
001, LOC_CIVILIZATION_NUBIA_NAME, UNIT_WARRIOR (131073), 32, 13, 32, 14, 16400, 4c3df2c3
001, LOC_CIVILIZATION_INDIA_NAME, UNIT_SETTLER (65536), 11, 27, 11, 25, 16656, af13468c
001, LOC_CIVILIZATION_BABYLON_STK_NAME, UNIT_WARRIOR (131073), 10, 41, 10, 40, 16656, cb19c48a
001, LOC_CIVILIZATION_BABYLON_STK_NAME, UNIT_SETTLER (65536), 11, 41, 10, 41, 16656, b8f9704a
001, LOC_CIVILIZATION_NUBIA_NAME, UNIT_SETTLER (65536), 33, 12, 33, 13, 16656, a7a4d6d7
001, LOC_CIVILIZATION_PERSIA_NAME, UNIT_SETTLER (65536), 29, 62, 31, 62, 16656, 386b286d
001, LOC_CIVILIZATION_PERSIA_NAME, UNIT_WARRIOR (131073), 28, 62, 27, 61, 16656, 58e2eac2
001, LOC_CIVILIZATION_INDIA_NAME, UNIT_WARRIOR (131073), 10, 27, 9, 29, 16656, e88cfc8f
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 48, 63, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_SCOUT (262147), 49, 61, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_SETTLER (196610), 49, 61, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 48, 63, 49, 61, 256, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_SETTLER (196610), 49, 61, 48, 63, 256, 5c933465
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 48, 63, 49, 61, 0, ffffffff
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_AZTEC_EAGLE_WARRIOR (131073), 48, 63, 49, 62, 36865, 453fc735
002, LOC_CIVILIZATION_AZTEC_NAME, UNIT_SCOUT (262147), 49, 61, 59, 46, 256, d0897e34
002, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 60, 47, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_CREE_NAME, UNIT_CREE_OKIHTCITAW (262147), 61, 44, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_CREE_NAME, UNIT_SETTLER (196610), 61, 44, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 60, 47, 61, 44, 256, ffffffff
002, LOC_CIVILIZATION_CREE_NAME, UNIT_SETTLER (196610), 61, 44, 60, 47, 256, 57bcf12e
002, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 60, 47, 61, 45, 36865, 3f80db84
002, LOC_CIVILIZATION_CREE_NAME, UNIT_CREE_OKIHTCITAW (262147), 61, 44, 59, 46, 272, f81c256b
002, LOC_CIVILIZATION_CREE_NAME, UNIT_WARRIOR (131073), 60, 47, 61, 45, 36865, 3f80db84
002, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 35, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MALI_NAME, UNIT_SCOUT (262147), 64, 33, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MALI_NAME, UNIT_SETTLER (196610), 64, 33, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MALI_NAME, UNIT_SETTLER (196610), 64, 33, 64, 34, 276, eeaf0b98
002, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 35, 64, 33, 256, ffffffff
002, LOC_CIVILIZATION_MALI_NAME, UNIT_SETTLER (196610), 64, 33, 65, 35, 256, 335e514c
002, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 35, 64, 33, 0, ffffffff
002, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 35, 64, 34, 36865, cdb373fa
002, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 34, 64, 34, 36865, 7d3e3f3e
002, LOC_CIVILIZATION_MALI_NAME, UNIT_SCOUT (262147), 64, 33, 49, 65, 256, 2d064a19
002, LOC_CIVILIZATION_MALI_NAME, UNIT_WARRIOR (131073), 65, 34, 64, 34, 36865, 7d3e3f3e
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SCOUT (262147), 50, 15, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SETTLER (196610), 50, 15, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SETTLER (196610), 50, 15, 51, 16, 276, 4ff35a76
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SETTLER (196610), 50, 15, 60, 48, 276, 480f354b
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, 50, 15, 256, ffffffff
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SETTLER (196610), 50, 15, 51, 16, 256, 4ff35a76
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, 50, 15, 0, ffffffff
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, 60, 48, 36865, ffffffff
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_WARRIOR (131073), 51, 16, 60, 48, 36865, ffffffff
002, LOC_CIVILIZATION_MONGOLIA_NAME, UNIT_SCOUT (262147), 50, 15, 49, 65, 256, d83993d4
002, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (196610), 55, 34, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (131073), 55, 36, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (131073), 55, 36, 56, 37, 256, 7b065ea1
002, LOC_CIVILIZATION_KABUL_NAME, UNIT_WARRIOR (196610), 55, 34, 55, 36, 256, 6653ee75
002, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (196610), 64, 1, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (131073), 64, 2, -9999, -9999, 2325, ffffffff
002, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (131073), 64, 2, 64, 3, 256, 9cf6aa6a
002, LOC_CIVILIZATION_NAN_MADOL_NAME, UNIT_WARRIOR (196610), 64, 1, 64, 2, 256, 7c872a0c
