Turn, PlayerIndex, Control, HeroesDiscovered, HeroesClaimed, HeroesRecalled, DiscoveryOrder
1, 0, Human, 0, 0, 0, Rebuilding Discovery Order
1, 1, Human, 0, 0, 0, Rebuilding Discovery Order
1, 2, Human, 0, 0, 0, Rebuilding Discovery Order
1, 3, Human, 0, 0, 0, Rebuilding Discovery Order
1, 4, AI, 0, 0, 0, Rebuilding Discovery Order
1, 5, AI, 0, 0, 0, Rebuilding Discovery Order
1, 6, AI, 0, 0, 0, Rebuilding Discovery Order
1, 7, AI, 0, 0, 0, Rebuilding Discovery Order
2, 0, Human, 0, 0, 0, Rebuilding Discovery Order
2, 1, Human, 0, 0, 0, Rebuilding Discovery Order
2, 2, Human, 0, 0, 0, Rebuilding Discovery Order
2, 3, Human, 0, 0, 0, Rebuilding Discovery Order
2, 4, AI, 0, 0, 0, Rebuilding Discovery Order
2, 5, AI, 0, 0, 0, Rebuilding Discovery Order
2, 6, AI, 0, 0, 0, Rebuilding Discovery Order
2, 7, AI, 0, 0, 0, Rebuilding Discovery Order
3, 0, Human, 0, 0, 0, Rebuilding Discovery Order
3, 1, Human, 0, 0, 0, Rebuilding Discovery Order
3, 2, Human, 0, 0, 0, Rebuilding Discovery Order
3, 3, Human, 0, 0, 0, Rebuilding Discovery Order
3, 4, AI, 0, 0, 0, Rebuilding Discovery Order
3, 5, AI, 0, 0, 0, Rebuilding Discovery Order
3, 6, AI, 0, 0, 0, Rebuilding Discovery Order
3, 7, AI, 0, 0, 0, Rebuilding Discovery Order
4, 0, Human, 0, 0, 0, Rebuilding Discovery Order
4, 1, Human, 0, 0, 0, Rebuilding Discovery Order
4, 2, Human, 0, 0, 0, Rebuilding Discovery Order
4, 3, Human, 0, 0, 0, Rebuilding Discovery Order
4, 4, AI, 0, 0, 0, Rebuilding Discovery Order
4, 5, AI, 0, 0, 0, Rebuilding Discovery Order
4, 6, AI, 0, 0, 0, Rebuilding Discovery Order
4, 7, AI, 0, 0, 0, Rebuilding Discovery Order
5, 0, Human, 0, 0, 0, Rebuilding Discovery Order
5, 1, Human, 0, 0, 0, Rebuilding Discovery Order
5, 2, Human, 0, 0, 0, Rebuilding Discovery Order
5, 3, Human, 0, 0, 0, Rebuilding Discovery Order
5, 4, AI, 0, 0, 0, Rebuilding Discovery Order
5, 5, AI, 0, 0, 0, Rebuilding Discovery Order
5, 6, AI, 0, 0, 0, Rebuilding Discovery Order
5, 7, AI, 0, 0, 0, Rebuilding Discovery Order
6, 0, Human, 0, 0, 0, Rebuilding Discovery Order
6, 1, Human, 0, 0, 0, Rebuilding Discovery Order
6, 2, Human, 0, 0, 0, Rebuilding Discovery Order
6, 3, Human, 0, 0, 0, Rebuilding Discovery Order
6, 4, AI, 0, 0, 0, Rebuilding Discovery Order
6, 5, AI, 0, 0, 0, Rebuilding Discovery Order
6, 6, AI, 0, 0, 0, Rebuilding Discovery Order
6, 7, AI, 0, 0, 0, Rebuilding Discovery Order
7, 0, Human, 0, 0, 0, Rebuilding Discovery Order
7, 1, Human, 0, 0, 0, Rebuilding Discovery Order
7, 2, Human, 0, 0, 0, Rebuilding Discovery Order
7, 3, Human, 0, 0, 0, Rebuilding Discovery Order
7, 4, AI, 0, 0, 0, Rebuilding Discovery Order
7, 5, AI, 0, 0, 0, Rebuilding Discovery Order
7, 6, AI, 0, 0, 0, Rebuilding Discovery Order
7, 7, AI, 0, 0, 0, Rebuilding Discovery Order
8, 0, Human, 0, 0, 0, Rebuilding Discovery Order
8, 1, Human, 0, 0, 0, Rebuilding Discovery Order
8, 2, Human, 0, 0, 0, Rebuilding Discovery Order
8, 3, Human, 0, 0, 0, Rebuilding Discovery Order
8, 4, AI, 0, 0, 0, Rebuilding Discovery Order
8, 5, AI, 0, 0, 0, Rebuilding Discovery Order
8, 6, AI, 0, 0, 0, Rebuilding Discovery Order
8, 7, AI, 0, 0, 0, Rebuilding Discovery Order
9, 0, Human, 0, 0, 0, Rebuilding Discovery Order
9, 1, Human, 0, 0, 0, Rebuilding Discovery Order
9, 2, Human, 0, 0, 0, Rebuilding Discovery Order
9, 3, Human, 0, 0, 0, Rebuilding Discovery Order
9, 4, AI, 0, 0, 0, Rebuilding Discovery Order
9, 5, AI, 0, 0, 0, Rebuilding Discovery Order
9, 6, AI, 0, 0, 0, Rebuilding Discovery Order
9, 7, AI, 0, 0, 0, Rebuilding Discovery Order
1, 0, Human, 0, 0, 0, Rebuilding Discovery Order
1, 1, Human, 0, 0, 0, Rebuilding Discovery Order
1, 2, Human, 0, 0, 0, Rebuilding Discovery Order
1, 3, Human, 0, 0, 0, Rebuilding Discovery Order
1, 4, Human, 0, 0, 0, Rebuilding Discovery Order
1, 5, AI, 0, 0, 0, Rebuilding Discovery Order
1, 6, AI, 0, 0, 0, Rebuilding Discovery Order
1, 7, AI, 0, 0, 0, Rebuilding Discovery Order
1, 8, AI, 0, 0, 0, Rebuilding Discovery Order
1, 9, AI, 0, 0, 0, Rebuilding Discovery Order
2, 0, Human, 0, 0, 0, Rebuilding Discovery Order
2, 1, Human, 0, 0, 0, Rebuilding Discovery Order
2, 2, Human, 0, 0, 0, Rebuilding Discovery Order
2, 3, Human, 0, 0, 0, Rebuilding Discovery Order
2, 4, Human, 0, 0, 0, Rebuilding Discovery Order
2, 5, AI, 0, 0, 0, Rebuilding Discovery Order
2, 6, AI, 0, 0, 0, Rebuilding Discovery Order
2, 7, AI, 0, 0, 0, Rebuilding Discovery Order
2, 8, AI, 0, 0, 0, Rebuilding Discovery Order
2, 9, AI, 0, 0, 0, Rebuilding Discovery Order
3, 0, Human, 0, 0, 0, Rebuilding Discovery Order
3, 1, Human, 0, 0, 0, Rebuilding Discovery Order
3, 2, Human, 0, 0, 0, Rebuilding Discovery Order
3, 3, Human, 0, 0, 0, Rebuilding Discovery Order
3, 4, Human, 0, 0, 0, Rebuilding Discovery Order
3, 5, AI, 0, 0, 0, Rebuilding Discovery Order
3, 6, AI, 0, 0, 0, Rebuilding Discovery Order
3, 7, AI, 0, 0, 0, Rebuilding Discovery Order
3, 8, AI, 0, 0, 0, Rebuilding Discovery Order
3, 9, AI, 0, 0, 0, Rebuilding Discovery Order
