Game Turn, Player, Operation, Notes, Team, Team Notes, Team Members, Terrain
1, 4, Settle New City, Started
1, 4, Settle New City running, TARGET -9999:-9999
1, 4, Settle New City, ,0, Not Ready, 
1, 4, Settle New City, Operation Change Target INVALID, No backup
1, 4, Settle New City, Operation complete
1, 5, Settle New City, Started
1, 5, Settle New City running, TARGET -9999:-9999
1, 5, Settle New City, ,0, Not Ready, 
1, 5, Settle New City, Operation Change Target INVALID, No backup
1, 5, Settle New City, Operation complete
1, 6, Settle New City, Started
1, 6, Settle New City running, TARGET -9999:-9999
1, 6, Settle New City, ,0, Not Ready, 
1, 6, Settle New City, Operation Change Target INVALID, No backup
1, 6, Settle New City, Operation complete
1, 7, Settle New City, Started
1, 7, Settle New City running, TARGET -9999:-9999
1, 7, Settle New City, ,0, Not Ready, 
1, 7, Settle New City, Operation Change Target INVALID, No backup
1, 7, Settle New City, Operation complete
2, 4, Settle New City, Started
2, 4, Settle New City running, TARGET 46:63
2, 4, Settle New City, ,0, Not Ready, 
2, 4, Settle New City, Recruiting minimums, , , UNIT_AZTEC_EAGLE_WARRIOR
2, 4, Settle New City, Recruiting strength, , Enemy Str: 0 / 20.0, UNIT_AZTEC_EAGLE_WARRIOR
2, 4, Settle New City, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
2, 4, Settle New City, Operation Move, UNIT_SETTLER, 48:63, 49:62, 49:62
2, 4, Settle New City, Operation Move, UNIT_AZTEC_EAGLE_WARRIOR, 49:62, 49:62, 49:62
2, 5, Settle New City, Started
2, 5, Settle New City running, TARGET 60:48
2, 5, Settle New City, ,0, Not Ready, 
2, 5, Settle New City, Recruiting minimums, , , UNIT_WARRIOR
2, 5, Settle New City, Recruiting strength, , Enemy Str: 0 / 20.0, UNIT_WARRIOR
2, 5, Settle New City, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
2, 5, Settle New City, Operation Move, UNIT_WARRIOR, 60:47, 61:45, 60:47
2, 6, Settle New City, Started
2, 6, Settle New City running, TARGET 60:48
2, 6, Settle New City, ,0, Not Ready, 
2, 6, Settle New City, Recruiting minimums, , , UNIT_WARRIOR
2, 6, Settle New City, Recruiting strength, , Enemy Str: 0 / 20.0, UNIT_WARRIOR
2, 6, Settle New City, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
2, 6, Settle New City, Operation Move, UNIT_SETTLER, 65:35, 64:34, 65:34
2, 6, Settle New City, Operation Move, UNIT_WARRIOR, 65:34, 64:34, 65:34
2, 7, Settle New City, Started
2, 7, Settle New City running, TARGET 60:48
2, 7, Settle New City, ,0, Not Ready, 
2, 7, Settle New City, Recruiting minimums, , , UNIT_WARRIOR
2, 7, Settle New City, Recruiting strength, , Enemy Str: 0 / 20.0, UNIT_WARRIOR
2, 7, Settle New City, Operation Recruit, 2 units, Recruited 1, Contract for: UNIT_WARRIOR_MONK
2, 7, Settle New City, No recruits to reach minimum, , , 
2, 7, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
2, 7, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
2, 7, Settle New City, Operation Move, UNIT_SETTLER, 51:16, 51:16, 51:16
2, 7, Settle New City, Operation Move, UNIT_WARRIOR, 51:16, 51:16, 51:16
2, 7, Settle New City, Operation Move, UNIT_SETTLER, 51:16, 60:48, 51:16
2, 7, Settle New City, Operation Move, UNIT_WARRIOR, 51:16, 60:48, 51:16
2, 8, Naval Superiority, Started
2, 8, Naval Superiority, No recruits to reach minimum, , , 
2, 8, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
2, 9, Naval Superiority, Started
2, 9, Naval Superiority, No recruits to reach minimum, , , 
2, 9, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
2, 10, Naval Superiority, Started
2, 10, Naval Superiority, No recruits to reach minimum, , , 
2, 10, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
2, 11, Naval Superiority, Started
2, 11, Naval Superiority, No recruits to reach minimum, , , 
2, 11, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
2, 12, Naval Superiority, Started
2, 12, Naval Superiority, No recruits to reach minimum, , , 
2, 12, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
2, 13, Naval Superiority, Started
2, 13, Naval Superiority, No recruits to reach minimum, , , 
2, 13, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_LAHORE_NIHANG
2, 14, Naval Superiority, Started
2, 14, Naval Superiority, No recruits to reach minimum, , , 
2, 14, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
2, 15, Naval Superiority, Started
2, 15, Naval Superiority, No recruits to reach minimum, , , 
2, 15, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
2, 17, Naval Superiority, Started
2, 17, Naval Superiority, No recruits to reach minimum, , , 
2, 17, Naval Superiority, Operation Recruit, 0 units, Recruited 0, Contract for: UNIT_WARRIOR_MONK
3, 4, Settle New City running, TARGET 46:63
3, 4, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_AZTEC_EAGLE_WARRIOR; 
3, 4, Settle New City, No recruits to reach minimum, , , 
3, 4, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
3, 4, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
3, 4, Settle New City, No recruits to reach minimum, , , 
3, 4, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
3, 4, Settle New City, Operation Recruit, 2 units, Recruited 0, Contract for: UNIT_AZTEC_EAGLE_WARRIOR
3, 4, Settle New City, Operation Move, UNIT_SETTLER, 49:62, 48:61, 48:61
3, 4, Settle New City, Operation Move, UNIT_AZTEC_EAGLE_WARRIOR, 48:61, 48:61, 48:61
3, 4, Settle New City, Operation Move, UNIT_SETTLER, 48:61, 46:63, 49:62
3, 4, Settle New City, Operation Move, UNIT_AZTEC_EAGLE_WARRIOR, 49:62, 46:63, 49:62
3, 5, Settle New City running, TARGET 60:48
3, 5, Settle New City, ,0, Ready, UNIT_SETTLER; UNIT_WARRIOR; 
3, 5, Settle New City, No recruits to reach minimum, , , 
3, 5, Settle New City, No recruits to match strength, , Enemy Str: 0 / 20.0, 
