Turn, EventType, GovernorName, Owner, City
4, Governor Appointed, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, CIVILIZATION_BABYLON_STK, NO CITY
4, Governor Promoted, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_BABYLON_STK, NO CITY
4, Governor Appointed, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_BABYLON_STK, NO CITY
4, Governor Assigned, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_BABYLON_STK, LOC_CITY_NAME_BABYLON_STK
5, Governor Promoted, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_VIETNAM, NO CITY
5, Governor Appointed, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_VIETNAM, NO CITY
5, Governor Assigned, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_VIETNAM, LOC_CITY_HA_NOI
5, Governor Promoted, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, CIVILIZATION_ROME, NO CITY
5, Governor Appointed, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, CIVILIZATION_ROME, NO CITY
5, Governor Established, LOC_GOVERNOR_THE_BUILDER_NAME, CIVILIZATION_NUBIA, NO CITY
5, Governor Promoted, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, CIVILIZATION_MALI, NO CITY
5, Governor Appointed, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, CIVILIZATION_MALI, NO CITY
5, Governor Promoted, LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME, CIVILIZATION_MALI, NO CITY
5, Governor Appointed, LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME, CIVILIZATION_MALI, NO CITY
5, Governor Assigned, LOC_GOVERNOR_THE_RESOURCE_MANAGER_NAME, CIVILIZATION_MALI, LOC_CITY_NAME_NIANI
6, Governor Promoted, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, CIVILIZATION_GERMANY, NO CITY
6, Governor Appointed, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, CIVILIZATION_GERMANY, NO CITY
6, Governor Promoted, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_ROME, NO CITY
6, Governor Appointed, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_ROME, NO CITY
6, Governor Assigned, LOC_GOVERNOR_THE_EDUCATOR_NAME, CIVILIZATION_ROME, LOC_CITY_NAME_ROME
6, Governor Promoted, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, CIVILIZATION_INDIA, NO CITY
6, Governor Appointed, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, CIVILIZATION_INDIA, NO CITY
6, Governor Promoted, LOC_GOVERNOR_THE_CARDINAL_NAME, CIVILIZATION_INDIA, NO CITY
