Game Turn, Player, KnowledgeType, Location, Other
1, 9, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 9, TRADE, TO -1, VAL 0.00
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 2 0,
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 9, ARMY,, 
1, 10, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 10, TRADE, TO -1, VAL 0.00
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 2 0,
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 10, ARMY,, 
1, 11, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 11, TRADE, TO -1, VAL 0.00
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 2 0,
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 11, ARMY,, 
1, 12, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 12, TRADE, TO -1, VAL 0.00
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 2 0,
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 12, ARMY,, 
1, 13, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 13, TRADE, TO -1, VAL 0.00
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 2 0,
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 13, ARMY,, 
1, 14, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 14, TRADE, TO -1, VAL 0.00
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 2 0,
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 14, ARMY,, 
1, 15, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 15, TRADE, TO -1, VAL 0.00
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, UNIT_SETTLER 1 0,UNIT_WARRIOR 2 0,
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 15, ARMY,, 
1, 16, START LOG, , YIELD_FOOD 0.00 +/- 0.00,YIELD_PRODUCTION 0.00 +/- 0.00,YIELD_GOLD 0.00 +/- 0.00,YIELD_SCIENCE 0.00 +/- 0.00,YIELD_CULTURE 0.00 +/- 0.00,YIELD_FAITH 0.00 +/- 0.00,
1, 16, TRADE, TO -1, VAL 0.00
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
1, 16, ARMY,, 
