Game Turn, Player, Num Cities, Population, Techs, Civics, Land Units, corps, Armies, Naval Units, TILES: Owned, Improved, BALANCE: Gold, Faith, YIELDS: Science, Culture, Gold, Faith, Production, Food
3, CIVILIZATION_NAN_MADOL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 17, 0, 3, 1, 6, 0, 2, 5
3, CIVILIZATION_SAMARKAND, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 2, 2, 1, 5, 1, 2, 6
3, CIVILIZATION_GENEVA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 3, 1, 5, 0, 3, 4
3, CIVILIZATION_CAGUANA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 2, 5, 0, 2, 5
3, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 3, 4
3, CIVILIZATION_CHINGUETTI, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 5
3, CIVILIZATION_HATTUSA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 2, 5
3, CIVILIZATION_BUENOS_AIRES, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 3, 5
3, CIVILIZATION_MEXICO_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 3, 4
3, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
3, CIVILIZATION_PERSIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 15, 0, 2, 2, 5, 0, 5, 6
3, CIVILIZATION_BABYLON_STK, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 15, 0, 2, 1, 5, 0, 5, 7
3, CIVILIZATION_INDIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 15, 0, 2, 2, 5, 0, 3, 7
3, CIVILIZATION_NUBIA, 1, 1, 0, 0, 1, 0, 0, 0, 7, 0, 15, 0, 2, 2, 5, 0, 6, 5
4, CIVILIZATION_AZTEC, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 2, 1, 8, 0, 13, 5
4, CIVILIZATION_CREE, 1, 1, 0, 0, 3, 0, 0, 0, 7, 1, 30, 0, 2, 1, 8, 0, 11, 5
4, CIVILIZATION_MALI, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 35, 10, 2, 1, 10, 3, 13, 5
4, CIVILIZATION_MONGOLIA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 30, 0, 3, 1, 8, 0, 11, 5
4, CIVILIZATION_KABUL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 3, 4
4, CIVILIZATION_NAN_MADOL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 23, 0, 3, 1, 6, 0, 2, 5
4, CIVILIZATION_SAMARKAND, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 20, 4, 3, 1, 5, 2, 2, 9
4, CIVILIZATION_GENEVA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 3, 1, 5, 0, 3, 4
4, CIVILIZATION_CAGUANA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 2, 5, 0, 2, 5
4, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 3, 4
4, CIVILIZATION_CHINGUETTI, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 5
4, CIVILIZATION_HATTUSA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 2, 5
4, CIVILIZATION_BUENOS_AIRES, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 3, 5
4, CIVILIZATION_MEXICO_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 1, 5, 0, 3, 4
4, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
4, CIVILIZATION_PERSIA, 1, 2, 0, 0, 1, 0, 0, 0, 7, 0, 20, 0, 3, 2, 5, 0, 8, 7
4, CIVILIZATION_BABYLON_STK, 1, 2, 0, 0, 1, 0, 0, 0, 7, 0, 20, 0, 4, 1, 5, 0, 8, 8
4, CIVILIZATION_INDIA, 1, 2, 0, 0, 1, 0, 0, 0, 7, 0, 20, 0, 3, 2, 5, 0, 5, 10
4, CIVILIZATION_NUBIA, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 2, 2, 5, 0, 6, 5
5, CIVILIZATION_AZTEC, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 39, 0, 3, 1, 8, 0, 15, 8
5, CIVILIZATION_CREE, 1, 2, 0, 0, 3, 0, 0, 0, 7, 1, 39, 0, 3, 1, 8, 0, 11, 9
5, CIVILIZATION_MALI, 1, 2, 0, 0, 2, 0, 0, 0, 7, 1, 45, 13, 3, 1, 10, 3, 13, 8
5, CIVILIZATION_MONGOLIA, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 39, 0, 5, 1, 8, 0, 13, 7
5, CIVILIZATION_KABUL, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 3, 4
5, CIVILIZATION_NAN_MADOL, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 32, 0, 4, 1, 9, 0, 2, 6
5, CIVILIZATION_SAMARKAND, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 25, 6, 3, 1, 5, 2, 2, 9
5, CIVILIZATION_GENEVA, 1, 1, 1, 0, 2, 0, 0, 0, 7, 0, 25, 0, 3, 1, 5, 0, 3, 4
5, CIVILIZATION_CAGUANA, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 3, 2, 5, 0, 2, 8
5, CIVILIZATION_LAHORE, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 3, 4
5, CIVILIZATION_CHINGUETTI, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 3, 2, 5, 0, 3, 7
5, CIVILIZATION_HATTUSA, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 3, 1, 5, 0, 2, 9
5, CIVILIZATION_BUENOS_AIRES, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 3, 1, 5, 0, 4, 7
5, CIVILIZATION_MEXICO_CITY, 1, 1, 0, 0, 2, 0, 0, 0, 7, 0, 25, 0, 2, 1, 5, 0, 3, 4
5, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
5, CIVILIZATION_PERSIA, 1, 2, 0, 0, 2, 0, 0, 0, 8, 0, 25, 0, 3, 2, 5, 0, 8, 7
5, CIVILIZATION_BABYLON_STK, 1, 2, 0, 0, 2, 0, 0, 0, 7, 0, 20, 0, 4, 1, 5, 0, 8, 8
5, CIVILIZATION_INDIA, 1, 2, 0, 0, 1, 0, 0, 0, 8, 0, 25, 0, 3, 2, 5, 0, 5, 10
5, CIVILIZATION_NUBIA, 1, 2, 0, 0, 3, 0, 0, 0, 9, 0, 5, 0, 3, 2, 5, 0, 10, 6
6, CIVILIZATION_AZTEC, 2, 3, 1, 0, 3, 0, 0, 0, 15, 0, 67, 1, 3, 1, 8, 1, 20, 14
6, CIVILIZATION_CREE, 2, 3, 1, 0, 4, 0, 0, 0, 15, 1, 50, 0, 3, 1, 11, 0, 20, 14
6, CIVILIZATION_MALI, 1, 2, 1, 0, 4, 0, 0, 0, 8, 2, 59, 4, 3, 1, 13, 3, 17, 7
6, CIVILIZATION_MONGOLIA, 1, 2, 1, 0, 2, 0, 0, 0, 8, 0, 57, 0, 5, 1, 8, 0, 13, 7
6, CIVILIZATION_KABUL, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 30, 0, 3, 1, 5, 0, 4, 5
6, CIVILIZATION_NAN_MADOL, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 41, 0, 4, 1, 9, 0, 2, 6
6, CIVILIZATION_SAMARKAND, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 30, 8, 3, 1, 5, 2, 2, 9
6, CIVILIZATION_GENEVA, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 30, 0, 4, 1, 5, 0, 5, 5
6, CIVILIZATION_CAGUANA, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 30, 0, 3, 2, 5, 0, 2, 8
6, CIVILIZATION_LAHORE, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 30, 0, 3, 1, 5, 0, 5, 5
6, CIVILIZATION_CHINGUETTI, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 30, 0, 3, 2, 5, 0, 3, 7
6, CIVILIZATION_HATTUSA, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 30, 0, 3, 1, 5, 0, 2, 9
6, CIVILIZATION_BUENOS_AIRES, 1, 2, 1, 0, 2, 0, 0, 0, 7, 0, 30, 0, 3, 1, 5, 0, 4, 7
6, CIVILIZATION_MEXICO_CITY, 1, 2, 1, 0, 2, 0, 0, 0, 7, 1, 30, 0, 3, 1, 5, 0, 3, 7
6, CIVILIZATION_FREE_CITIES, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
6, CIVILIZATION_PERSIA, 1, 2, 0, 1, 3, 0, 0, 0, 8, 0, 50, 0, 3, 2, 5, 0, 8, 7
6, CIVILIZATION_BABYLON_STK, 1, 2, 0, 0, 2, 0, 0, 0, 8, 1, 25, 0, 4, 1, 5, 0, 8, 9
6, CIVILIZATION_INDIA, 1, 3, 1, 1, 2, 0, 0, 0, 8, 0, 30, 0, 3, 2, 5, 0, 7, 13
6, CIVILIZATION_NUBIA, 1, 2, 0, 1, 3, 0, 0, 0, 9, 0, 10, 0, 3, 2, 5, 0, 9, 7
7, CIVILIZATION_AZTEC, 2, 3, 1, 0, 3, 0, 0, 0, 16, 1, 61, 3, 3, 1, 8, 1, 20, 14
7, CIVILIZATION_CREE, 2, 3, 1, 1, 4, 0, 0, 0, 15, 1, 72, 0, 3, 3, 11, 0, 23, 14
7, CIVILIZATION_MALI, 1, 2, 1, 0, 4, 0, 0, 0, 8, 3, 52, 8, 3, 1, 13, 3, 17, 7
7, CIVILIZATION_MONGOLIA, 1, 2, 1, 0, 2, 0, 0, 0, 9, 1, 51, 0, 5, 1, 8, 0, 13, 7
7, CIVILIZATION_KABUL, 1, 2, 1, 1, 2, 0, 0, 0, 7, 0, 35, 0, 3, 1, 5, 0, 4, 5
