Game Turn, From, To, Initiator, Type, SubType, Message
9, 4, 1, 4, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Processing Statement
9, 4, 1, 4, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Notification sent; closing local session
9, 4, 2, 4, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Processing Statement
9, 4, 2, 4, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Not for local adding to notification
9, 4, 2, 4, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Notification sent; closing session
9, 4, 3, 4, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Processing Statement
9, 4, 3, 4, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Not for local adding to notification
9, 4, 3, 4, FIRST_MEET_NEAR_RECIPIENT, NONE, INITIAL, Notification sent; closing session
9, 5, 0, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Statement
9, 5, 0, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Not for local adding to notification
9, 5, 0, 5, FIRST_MEET_NO_MANS, NONE, INITIAL, Notification sent; closing session
9, 6, 0, 6, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Statement
9, 6, 0, 6, FIRST_MEET_NO_MANS, NONE, INITIAL, Not for local adding to notification
9, 6, 0, 6, FIRST_MEET_NO_MANS, NONE, INITIAL, Notification sent; closing session
9, 7, 0, 7, FIRST_MEET_NO_MANS, NONE, INITIAL, Processing Statement
9, 7, 0, 7, FIRST_MEET_NO_MANS, NONE, INITIAL, Not for local adding to notification
9, 7, 0, 7, FIRST_MEET_NO_MANS, NONE, INITIAL, Notification sent; closing session
9, 5, 0, -1, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, 00000000, Requesting Session (B)
9, 5, 0, 5, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Adding to pending
9, 5, 0, 5, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Processing Statement
9, 5, 0, 5, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Not for local adding to notification
9, 5, 0, 5, DIPLOMATIC_HIDDEN_AGENDA_KUDO, NONE, INITIAL, Notification sent; closing session
9, 6, 0, -1, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, 00000000, Requesting Session (B)
9, 6, 0, 6, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Adding to pending
9, 6, 0, 6, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Processing Statement
9, 6, 0, 6, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Not for local adding to notification
9, 6, 0, 6, DIPLOMATIC_HIDDEN_AGENDA_WARNING, NONE, INITIAL, Notification sent; closing session
1, 4, 2, 4, MAKE_DEAL, NONE, INITIAL, Processing Statement
1, 4, 2, 4, MAKE_DEAL, NONE, INITIAL, Not for local adding to notification
1, 4, 2, 4, MAKE_DEAL, NONE, INITIAL, Notification sent; closing session
1, 4, 2, 4, MAKE_DEAL, NONE, 00000000, Processing Statement
1, 4, 2, 4, MAKE_DEAL, NONE, 00000000, Not for local adding to notification
1, 4, 2, 4, MAKE_DEAL, NONE, 00000000, Notification sent; closing session
1, 2, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
1, 2, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Not for local adding to notification
1, 2, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Notification sent; closing session
1, 4, 3, 4, MAKE_DEAL, NONE, INITIAL, Processing Statement
1, 4, 3, 4, MAKE_DEAL, NONE, INITIAL, Not for local adding to notification
1, 4, 3, 4, MAKE_DEAL, NONE, INITIAL, Notification sent; closing session
1, 4, 3, 4, MAKE_DEAL, NONE, 00000000, Processing Statement
1, 4, 3, 4, MAKE_DEAL, NONE, 00000000, Not for local adding to notification
1, 4, 3, 4, MAKE_DEAL, NONE, 00000000, Notification sent; closing session
1, 4, 0, 4, MAKE_DEAL, NONE, INITIAL, Processing Statement
1, 4, 0, 4, MAKE_DEAL, NONE, INITIAL, Not for local adding to notification
1, 4, 0, 4, MAKE_DEAL, NONE, INITIAL, Notification sent; closing session
1, 4, 0, 4, MAKE_DEAL, NONE, 00000000, Processing Statement
1, 4, 0, 4, MAKE_DEAL, NONE, 00000000, Not for local adding to notification
1, 4, 0, 4, MAKE_DEAL, NONE, 00000000, Notification sent; closing session
1, 3, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
1, 3, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Not for local adding to notification
1, 3, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Notification sent; closing session
1, 4, 1, 4, MAKE_DEAL, NONE, INITIAL, Processing Statement
1, 4, 1, 4, MAKE_DEAL, NONE, INITIAL, Notification sent; closing local session
1, 4, 1, 4, MAKE_DEAL, NONE, 00000000, Processing Statement
1, 4, 1, 4, MAKE_DEAL, NONE, 00000000, Notification sent; closing local session
1, 0, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Processing Statement
1, 0, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Not for local adding to notification
1, 0, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Notification sent; closing session
1, 4, 1, 4, MAKE_DEAL, NONE, 00000000, Restoring Session
1, 1, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Adding to pending
1, 1, 4, 4, MAKE_DEAL, HUMAN_ACCEPT_DEAL, POSITIVE, Broadcasting
