Turn, SecretSociety, Event
7, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 6
7, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 2 Joins
8, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 6 Joins
9, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 7 (chance = 100 out of 100)
9, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 7
9, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 7 (chance = 100 out of 100)
9, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 7
9, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 7 (chance = 100 out of 100)
9, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 7
9, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 7 (chance = 100 out of 100)
9, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 7
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 4 (chance = 100 out of 100)
2, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 4
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 4 (chance = 100 out of 100)
2, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 4
2, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 4 (chance = 100 out of 100)
2, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 4
2, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 4 (chance = 100 out of 100)
2, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 4
2, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Player 4 Joins
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 8 (chance = 100 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 8
3, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 8 (chance = 100 out of 100)
3, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 8
3, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 8 (chance = 100 out of 100)
3, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 8
3, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 8 (chance = 100 out of 100)
3, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 8
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 0 (chance = 100 out of 100)
3, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 0
3, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 0 (chance = 100 out of 100)
3, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 0
3, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 0 (chance = 100 out of 100)
3, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 0
3, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 0 (chance = 100 out of 100)
3, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 0
3, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Player 0 Joins
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 8 Joins
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 9 (chance = 100 out of 100)
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 9
4, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 9 (chance = 100 out of 100)
4, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 9
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 9 (chance = 100 out of 100)
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 9
4, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 9 (chance = 100 out of 100)
4, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 9
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 1 (chance = 100 out of 100)
4, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 1
4, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 1 (chance = 100 out of 100)
4, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 1
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 1 (chance = 100 out of 100)
4, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 1
4, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 1 (chance = 100 out of 100)
4, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 1
4, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Player 1 Joins
5, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 7 (chance = 100 out of 100)
5, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 7
5, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 7 (chance = 100 out of 100)
5, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 7
5, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 7 (chance = 100 out of 100)
5, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 7
5, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 7 (chance = 100 out of 100)
5, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 7
5, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 9 Joins
5, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 3 (chance = 100 out of 100)
5, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 3
5, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 3 (chance = 100 out of 100)
5, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 3
5, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 3 (chance = 100 out of 100)
5, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 3
5, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 3 (chance = 100 out of 100)
5, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 3
5, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 3 Joins
6, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 6 (chance = 100 out of 100)
6, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 6
6, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 6 (chance = 100 out of 100)
6, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 6
6, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 6 (chance = 100 out of 100)
6, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 6
6, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 6 (chance = 100 out of 100)
6, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 6
6, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Player 7 Joins
6, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 2 (chance = 100 out of 100)
6, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 2
6, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 2 (chance = 100 out of 100)
6, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 2
6, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 2 (chance = 100 out of 100)
6, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 2
6, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 2 (chance = 100 out of 100)
6, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 2
6, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Player 2 Joins
7, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Player 6 Joins
8, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Attempted Discovery by Player 5 (chance = 100 out of 100)
8, LOC_SECRETSOCIETY_OWLS_OF_MINERVA_NAME, Discovered by Player 5
8, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Attempted Discovery by Player 5 (chance = 100 out of 100)
8, LOC_SECRETSOCIETY_HERMETIC_ORDER_NAME, Discovered by Player 5
8, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Attempted Discovery by Player 5 (chance = 100 out of 100)
8, LOC_SECRETSOCIETY_VOIDSINGERS_NAME, Discovered by Player 5
8, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Attempted Discovery by Player 5 (chance = 100 out of 100)
8, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Discovered by Player 5
9, LOC_SECRETSOCIETY_SANGUINE_PACT_NAME, Player 5 Joins
